NamedEntity-Miscellanies: CSU-Fraktion |frequenzy: 4016
NamedEntity-Miscellanies: amerikanische |frequenzy: 214
NamedEntity-Miscellanies: Altmaier |frequenzy: 208
NamedEntity-Miscellanies: russische |frequenzy: 206
NamedEntity-Miscellanies: Infektionsschutzgesetz |frequenzy: 202
NamedEntity-Miscellanies: AfD  |frequenzy: 200
NamedEntity-Miscellanies: Gesprächen |frequenzy: 200
NamedEntity-Miscellanies: Frieden |frequenzy: 199
NamedEntity-Miscellanies: Kraft |frequenzy: 199
NamedEntity-Miscellanies: Karlsruhe |frequenzy: 198
NamedEntity-Miscellanies: Zweiten Weltkrieg |frequenzy: 196
NamedEntity-Miscellanies: Deutsch |frequenzy: 195
NamedEntity-Miscellanies: BAföG |frequenzy: 193
NamedEntity-Miscellanies: CSU-Bundestagsfraktion |frequenzy: 192
NamedEntity-Miscellanies: irgendwelchen |frequenzy: 190
NamedEntity-Miscellanies: türkischen |frequenzy: 189
NamedEntity-Miscellanies: Grenze |frequenzy: 180
NamedEntity-Miscellanies: französische |frequenzy: 180
NamedEntity-Miscellanies: Covid-19 |frequenzy: 179
NamedEntity-Miscellanies: deutschem |frequenzy: 176
NamedEntity-Miscellanies: Fahrverbote |frequenzy: 174
NamedEntity-Miscellanies: Wirtschaftsminister |frequenzy: 174
NamedEntity-Miscellanies: Enquete-Kommission |frequenzy: 171
NamedEntity-Miscellanies: Sitzungswoche |frequenzy: 169
NamedEntity-Miscellanies: afrikanischen |frequenzy: 169
NamedEntity-Miscellanies: Schuldenbremse |frequenzy: 163
NamedEntity-Miscellanies: EEG |frequenzy: 156
NamedEntity-Miscellanies: Der letzte Redner |frequenzy: 154
NamedEntity-Miscellanies: Google |frequenzy: 153
NamedEntity-Miscellanies: chinesischen |frequenzy: 143
NamedEntity-Miscellanies: nächsten Jahre |frequenzy: 143
NamedEntity-Miscellanies: sozialistischen |frequenzy: 142
NamedEntity-Miscellanies: HeikoMaasBundesminister |frequenzy: 139
NamedEntity-Miscellanies: türkische |frequenzy: 136
NamedEntity-Miscellanies: demokratischer |frequenzy: 135
NamedEntity-Miscellanies: Twitter |frequenzy: 134
NamedEntity-Miscellanies: EEG-Umlage |frequenzy: 131
NamedEntity-Miscellanies: sozialdemokratische |frequenzy: 130
NamedEntity-Miscellanies: GesundheitBundesminister |frequenzy: 130
NamedEntity-Miscellanies: CO2-Preis |frequenzy: 128
NamedEntity-Miscellanies: europäisches |frequenzy: 126
NamedEntity-Miscellanies: nächsten Jahr |frequenzy: 126
NamedEntity-Miscellanies: BMZ |frequenzy: 124
NamedEntity-Miscellanies: bayerischen |frequenzy: 124
NamedEntity-Miscellanies: IS |frequenzy: 123
NamedEntity-Miscellanies: chinesische |frequenzy: 120
NamedEntity-Miscellanies: CO2-Emissionen |frequenzy: 118
NamedEntity-Miscellanies: Pakt |frequenzy: 118
NamedEntity-Miscellanies: rechtsstaatliche |frequenzy: 118
NamedEntity-Miscellanies: britische |frequenzy: 118
NamedEntity-Miscellanies: Sanktionen |frequenzy: 117
NamedEntity-Miscellanies: Operation |frequenzy: 116
NamedEntity-Miscellanies: Angriff |frequenzy: 114
NamedEntity-Miscellanies: Datenschutz-Grundverordnung |frequenzy: 114
NamedEntity-Miscellanies: JugendBundesministerin |frequenzy: 113
NamedEntity-Miscellanies: Amazon |frequenzy: 112
NamedEntity-Miscellanies: Klimaschutzgesetz |frequenzy: 111
NamedEntity-Miscellanies: britischen |frequenzy: 110
NamedEntity-Miscellanies: 1 Milliarde |frequenzy: 108
NamedEntity-Miscellanies: Meine Frage |frequenzy: 108
NamedEntity-Miscellanies: Russen |frequenzy: 107
NamedEntity-Miscellanies: Krieges |frequenzy: 107
NamedEntity-Miscellanies: Pakt für den Rechtsstaat |frequenzy: 106
NamedEntity-Miscellanies: Gute-Kita-Gesetz |frequenzy: 106
NamedEntity-Miscellanies: christlichen |frequenzy: 106
NamedEntity-Miscellanies: HubertusHeilBundesminister |frequenzy: 104
NamedEntity-Miscellanies: SozialesBundesminister |frequenzy: 104
NamedEntity-Miscellanies: Kalten Krieges |frequenzy: 103
NamedEntity-Miscellanies: sozialdemokratischen |frequenzy: 103
NamedEntity-Miscellanies: Klimaziele |frequenzy: 102
NamedEntity-Miscellanies: Einwanderungsgesetz |frequenzy: 101
NamedEntity-Miscellanies: Ersten |frequenzy: 101
NamedEntity-Miscellanies: Jahr für Jahr |frequenzy: 101
NamedEntity-Miscellanies: Einzelplan  |frequenzy: 100
NamedEntity-Miscellanies: jüdischen |frequenzy: 96
NamedEntity-Miscellanies: Verlaub |frequenzy: 95
NamedEntity-Miscellanies: CO2-Ausstoß |frequenzy: 95
NamedEntity-Miscellanies: CO2-Bepreisung |frequenzy: 94
NamedEntity-Miscellanies: Wende |frequenzy: 93
NamedEntity-Miscellanies: Europa  |frequenzy: 92
NamedEntity-Miscellanies: Hamburger |frequenzy: 92
NamedEntity-Miscellanies: ehrliche |frequenzy: 92
NamedEntity-Miscellanies: völkerrechtliche |frequenzy: 91
NamedEntity-Miscellanies: islamischen |frequenzy: 90
NamedEntity-Miscellanies: Dr VolkerUllrichCDU |frequenzy: 89
NamedEntity-Miscellanies: Holocaust |frequenzy: 88
NamedEntity-Miscellanies: zehn Jahre |frequenzy: 88
NamedEntity-Miscellanies: bayerische |frequenzy: 88
NamedEntity-Miscellanies: JuliaKlöcknerBundesministerin |frequenzy: 87
NamedEntity-Miscellanies: Hartz IV |frequenzy: 87
NamedEntity-Miscellanies: BMELJulia |frequenzy: 87
NamedEntity-Miscellanies: Agenda |frequenzy: 86
NamedEntity-Miscellanies: BMUSvenja |frequenzy: 86
NamedEntity-Miscellanies: Fachkräfteeinwanderungsgesetz |frequenzy: 85
NamedEntity-Miscellanies: NetzDG |frequenzy: 85
NamedEntity-Miscellanies: Handelsblatt |frequenzy: 85
NamedEntity-Miscellanies: Verkehrsministerium |frequenzy: 84
NamedEntity-Miscellanies: GRÜNENLisa |frequenzy: 83
NamedEntity-Miscellanies: Vertrages |frequenzy: 83
NamedEntity-Miscellanies: Meine lieben Kolleginnen und Kollegen! |frequenzy: 81
NamedEntity-Miscellanies: Starke-Familien-Gesetz |frequenzy: 81
NamedEntity-Miscellanies: Barrierefreiheit |frequenzy: 80
NamedEntity-Miscellanies: iranischen |frequenzy: 80
NamedEntity-Miscellanies: Soziale |frequenzy: 79
NamedEntity-Miscellanies: SGB II |frequenzy: 79
NamedEntity-Miscellanies: Lichte |frequenzy: 79
NamedEntity-Miscellanies: INF-Vertrag |frequenzy: 78
NamedEntity-Miscellanies: Euro pro Jahr |frequenzy: 78
NamedEntity-Miscellanies: freiheitlich-demokratische |frequenzy: 77
NamedEntity-Miscellanies: Schweizer |frequenzy: 77
NamedEntity-Miscellanies: Deutscher |frequenzy: 77
NamedEntity-Miscellanies: Europäische |frequenzy: 77
NamedEntity-Miscellanies: Selbstverständlich |frequenzy: 77
NamedEntity-Miscellanies: Tag für Tag |frequenzy: 76
NamedEntity-Miscellanies: christliche |frequenzy: 76
NamedEntity-Miscellanies: Euro im Jahr |frequenzy: 76
NamedEntity-Miscellanies: Wettbewerbs |frequenzy: 75
NamedEntity-Miscellanies: jüdische |frequenzy: 74
NamedEntity-Miscellanies: israelische |frequenzy: 74
NamedEntity-Miscellanies: MINUSMA |frequenzy: 73
NamedEntity-Miscellanies: Bürgerkrieg |frequenzy: 73
NamedEntity-Miscellanies: deutschen Ratspräsidentschaft |frequenzy: 72
NamedEntity-Miscellanies: MasiDIE |frequenzy: 72
NamedEntity-Miscellanies: Schwangerschaftsabbrüche |frequenzy: 72
NamedEntity-Miscellanies: Münchner |frequenzy: 71
NamedEntity-Miscellanies: israelischen |frequenzy: 71
NamedEntity-Miscellanies: 1 Milliarde Euro |frequenzy: 71
NamedEntity-Miscellanies: Datenaustausch |frequenzy: 70
NamedEntity-Miscellanies: Nachrüstung |frequenzy: 70
NamedEntity-Miscellanies: griechischen |frequenzy: 70
NamedEntity-Miscellanies: Ratspräsidentschaft |frequenzy: 70
NamedEntity-Miscellanies: irakischen |frequenzy: 70
NamedEntity-Miscellanies: GRÜNENBritta |frequenzy: 69
NamedEntity-Miscellanies: Entwurfs |frequenzy: 69
NamedEntity-Miscellanies: Bild“-Zeitung |frequenzy: 69
NamedEntity-Miscellanies: arabischen |frequenzy: 69
NamedEntity-Miscellanies: Gesetzentwurfes |frequenzy: 68
NamedEntity-Miscellanies: Christen |frequenzy: 68
NamedEntity-Miscellanies: UNMISS |frequenzy: 68
NamedEntity-Miscellanies: afrikanische |frequenzy: 67
NamedEntity-Miscellanies: Im Jahr  |frequenzy: 67
NamedEntity-Miscellanies: GIZ |frequenzy: 67
NamedEntity-Miscellanies: ForschungBundesministerin |frequenzy: 66
NamedEntity-Miscellanies: BMBFAnja |frequenzy: 66
NamedEntity-Miscellanies: YouTube |frequenzy: 65
NamedEntity-Miscellanies: Innenministerium |frequenzy: 65
NamedEntity-Miscellanies: Anführungszeichen  |frequenzy: 65
NamedEntity-Miscellanies: Ihr Haus |frequenzy: 65
NamedEntity-Miscellanies: BMF |frequenzy: 65
NamedEntity-Miscellanies: Atomausstieg |frequenzy: 64
NamedEntity-Miscellanies: Genfer Flüchtlingskonvention |frequenzy: 64
NamedEntity-Miscellanies: SPD-Bundestagsfraktion |frequenzy: 64
NamedEntity-Miscellanies: Die Zeit |frequenzy: 64
NamedEntity-Miscellanies: CO2-Steuer |frequenzy: 64
NamedEntity-Miscellanies: GRÜNENBeate |frequenzy: 63
NamedEntity-Miscellanies: Koalitionsvertrages |frequenzy: 63
NamedEntity-Miscellanies: Weihnachtsfest |frequenzy: 63
NamedEntity-Miscellanies: Jedes Jahr |frequenzy: 63
NamedEntity-Miscellanies: Pflegebedürftigen |frequenzy: 63
NamedEntity-Miscellanies: Fake News |frequenzy: 63
NamedEntity-Miscellanies: Reichstag |frequenzy: 62
NamedEntity-Miscellanies: Quatsch |frequenzy: 62
NamedEntity-Miscellanies: Umstieg |frequenzy: 62
NamedEntity-Miscellanies: Freiwilligkeit |frequenzy: 62
NamedEntity-Miscellanies: ODA-Quote |frequenzy: 62
NamedEntity-Miscellanies: Griechen |frequenzy: 61
NamedEntity-Miscellanies: Millionen |frequenzy: 61
NamedEntity-Miscellanies: sozialistische |frequenzy: 61
NamedEntity-Miscellanies: FDP-Antrag |frequenzy: 60
NamedEntity-Miscellanies: iranische |frequenzy: 60
NamedEntity-Miscellanies: italienischen |frequenzy: 60
NamedEntity-Miscellanies: Klein-Klein |frequenzy: 60
NamedEntity-Miscellanies: Sprache |frequenzy: 60
NamedEntity-Miscellanies: Beitritt |frequenzy: 60
NamedEntity-Miscellanies: Erneuerbare-Energien-Gesetz |frequenzy: 60
NamedEntity-Miscellanies: Liebe Frau Präsidentin! |frequenzy: 60
NamedEntity-Miscellanies: Bundesteilhabegesetz |frequenzy: 60
NamedEntity-Miscellanies: Quarantäne |frequenzy: 59
NamedEntity-Miscellanies: Okay |frequenzy: 59
NamedEntity-Miscellanies: AfD-Antrag |frequenzy: 59
NamedEntity-Miscellanies: CSUAxel |frequenzy: 58
NamedEntity-Miscellanies: sozialdemokratischer |frequenzy: 58
NamedEntity-Miscellanies: polnischen |frequenzy: 58
NamedEntity-Miscellanies: Kalten Krieg |frequenzy: 57
NamedEntity-Miscellanies: Koalitionsvertrag |frequenzy: 57
NamedEntity-Miscellanies: Wünschen |frequenzy: 57
NamedEntity-Miscellanies: ran |frequenzy: 57
NamedEntity-Miscellanies: Anreize |frequenzy: 57
NamedEntity-Miscellanies: AnKER-Zentren |frequenzy: 57
NamedEntity-Miscellanies: BÜNDNIS 90/ |frequenzy: 57
NamedEntity-Miscellanies: Windkraft |frequenzy: 57
NamedEntity-Miscellanies: Großen Koalition |frequenzy: 56
NamedEntity-Miscellanies: BMAS |frequenzy: 56
NamedEntity-Miscellanies: Hetze |frequenzy: 56
NamedEntity-Miscellanies: europäischem |frequenzy: 56
NamedEntity-Miscellanies: Jobs |frequenzy: 56
NamedEntity-Miscellanies: Bürger |frequenzy: 55
NamedEntity-Miscellanies: im Jahr  |frequenzy: 55
NamedEntity-Miscellanies: Vertrag |frequenzy: 55
NamedEntity-Miscellanies: Zweiten Weltkrieges |frequenzy: 54
NamedEntity-Miscellanies: Viren |frequenzy: 53
NamedEntity-Miscellanies: ukrainischen |frequenzy: 53
NamedEntity-Miscellanies: Ostern |frequenzy: 53
NamedEntity-Miscellanies: Regierungsbank |frequenzy: 53
NamedEntity-Miscellanies: Die nächste Rednerin |frequenzy: 53
NamedEntity-Miscellanies: deutschen Sprache |frequenzy: 52
NamedEntity-Miscellanies: EU-Ratspräsidentschaft |frequenzy: 52
NamedEntity-Miscellanies: Dr FranziskaGiffeyBundesministerin für Familie |frequenzy: 52
NamedEntity-Miscellanies: Brandner |frequenzy: 52
NamedEntity-Miscellanies: Dr Karl-HeinzBrunnerSPDDr |frequenzy: 52
NamedEntity-Miscellanies: Istanbul-Konvention |frequenzy: 52
NamedEntity-Miscellanies: Zukunftsfähigkeit |frequenzy: 51
NamedEntity-Miscellanies: griechische |frequenzy: 51
NamedEntity-Miscellanies: russischer |frequenzy: 51
NamedEntity-Miscellanies: Mietspiegel |frequenzy: 51
NamedEntity-Miscellanies: GRÜNENCanan |frequenzy: 51
NamedEntity-Miscellanies: Englisch |frequenzy: 50
NamedEntity-Miscellanies: Kriege |frequenzy: 50
NamedEntity-Miscellanies: Kita |frequenzy: 50
NamedEntity-Miscellanies: jüdisches |frequenzy: 50
NamedEntity-Miscellanies: Fachleuten |frequenzy: 50
NamedEntity-Miscellanies: österreichischen |frequenzy: 50
NamedEntity-Miscellanies: Herbst  |frequenzy: 50
NamedEntity-Miscellanies: Élysée-Vertrag |frequenzy: 50
NamedEntity-Miscellanies: Tierwohl |frequenzy: 49
NamedEntity-Miscellanies: Sea Guardian |frequenzy: 49
NamedEntity-Miscellanies: irakische |frequenzy: 49
NamedEntity-Miscellanies: Deutschland |frequenzy: 49
NamedEntity-Miscellanies: TTIP |frequenzy: 49
NamedEntity-Miscellanies: Videos |frequenzy: 48
NamedEntity-Miscellanies: sozialen Frieden |frequenzy: 48
NamedEntity-Miscellanies: islamische |frequenzy: 48
NamedEntity-Miscellanies: Zweiten Weltkriegs |frequenzy: 48
NamedEntity-Miscellanies: bundeseinheitliche |frequenzy: 48
NamedEntity-Miscellanies: Beamtinnen |frequenzy: 47
NamedEntity-Miscellanies: SPD  |frequenzy: 47
NamedEntity-Miscellanies: Covid-19-Pandemie |frequenzy: 47
NamedEntity-Miscellanies: Der Staat |frequenzy: 47
NamedEntity-Miscellanies: LINKEHeike |frequenzy: 47
NamedEntity-Miscellanies: deutsche Ratspräsidentschaft |frequenzy: 47
NamedEntity-Miscellanies: Jahr 2000 |frequenzy: 46
NamedEntity-Miscellanies: US-amerikanische |frequenzy: 46
NamedEntity-Miscellanies: Hartz-IV-Empfänger |frequenzy: 46
NamedEntity-Miscellanies: Bankenunion |frequenzy: 45
NamedEntity-Miscellanies: 100  |frequenzy: 45
NamedEntity-Miscellanies: Kernzeit |frequenzy: 45
NamedEntity-Miscellanies: Nährboden |frequenzy: 45
NamedEntity-Miscellanies: amerikanischer |frequenzy: 45
NamedEntity-Miscellanies: Hauptausschuss |frequenzy: 44
NamedEntity-Miscellanies: US-amerikanischen |frequenzy: 44
NamedEntity-Miscellanies: Arbeitsplätzen |frequenzy: 44
NamedEntity-Miscellanies: CO 2 -Ausstoß |frequenzy: 44
NamedEntity-Miscellanies: vier Jahre |frequenzy: 44
NamedEntity-Miscellanies: 21  Jahrhunderts |frequenzy: 43
NamedEntity-Miscellanies: Weges |frequenzy: 43
NamedEntity-Miscellanies: Der Kollege |frequenzy: 43
NamedEntity-Miscellanies: marktwirtschaftliche |frequenzy: 43
NamedEntity-Miscellanies: deutsche Sprache |frequenzy: 43
NamedEntity-Miscellanies: Beschlüssen |frequenzy: 43
NamedEntity-Miscellanies: Dr GötzFrömmingAfDDr |frequenzy: 42
NamedEntity-Miscellanies: Euro  |frequenzy: 42
NamedEntity-Miscellanies: BMVI |frequenzy: 42
NamedEntity-Miscellanies: Weiteren |frequenzy: 42
NamedEntity-Miscellanies: Jemen-Krieg |frequenzy: 42
NamedEntity-Miscellanies: Kulturschaffenden |frequenzy: 41
NamedEntity-Miscellanies: CarenLayDIE LINKECaren Lay |frequenzy: 41
NamedEntity-Miscellanies: Versprechen |frequenzy: 41
NamedEntity-Miscellanies: Fest |frequenzy: 41
NamedEntity-Miscellanies: Robert-Koch-Instituts |frequenzy: 41
NamedEntity-Miscellanies: Aachener Vertrag |frequenzy: 41
NamedEntity-Miscellanies: CSUFritz |frequenzy: 41
NamedEntity-Miscellanies: LINKEKathrin |frequenzy: 41
NamedEntity-Miscellanies: C |frequenzy: 41
NamedEntity-Miscellanies: Tag  |frequenzy: 41
NamedEntity-Miscellanies: NATO-Partner |frequenzy: 41
NamedEntity-Miscellanies: letzter Zeit |frequenzy: 41
NamedEntity-Miscellanies: GRÜNENAgnieszka Brugger |frequenzy: 41
NamedEntity-Miscellanies: GRÜNENMargit |frequenzy: 40
NamedEntity-Miscellanies: Bayram |frequenzy: 40
NamedEntity-Miscellanies: BMVg |frequenzy: 40
NamedEntity-Miscellanies: Rückenwind |frequenzy: 40
NamedEntity-Miscellanies: Händen |frequenzy: 40
NamedEntity-Miscellanies: Jahr 2016 |frequenzy: 40
NamedEntity-Miscellanies: Lkw-Maut |frequenzy: 40
NamedEntity-Miscellanies: AlexanderGraf |frequenzy: 40
NamedEntity-Miscellanies: Hochschulpakt |frequenzy: 40
NamedEntity-Miscellanies: Frieden und Freiheit |frequenzy: 40
NamedEntity-Miscellanies: Wirtschaftsminister Altmaier |frequenzy: 40
NamedEntity-Miscellanies: Die letzte Rednerin |frequenzy: 39
NamedEntity-Miscellanies: Friedensnobelpreis |frequenzy: 39
NamedEntity-Miscellanies: Christentum |frequenzy: 39
NamedEntity-Miscellanies: Die Regierung |frequenzy: 39
NamedEntity-Miscellanies: GRÜNENFiliz |frequenzy: 39
NamedEntity-Miscellanies: E-Fuels |frequenzy: 39
NamedEntity-Miscellanies: Ministers |frequenzy: 39
NamedEntity-Miscellanies: Jahr 2020 |frequenzy: 39
NamedEntity-Miscellanies: Pflegepersonal-Stärkungsgesetz |frequenzy: 39
NamedEntity-Miscellanies: Bundestagswahlen |frequenzy: 39
NamedEntity-Miscellanies: CSUPeter |frequenzy: 39
NamedEntity-Miscellanies: Gebäudeenergiegesetz |frequenzy: 38
NamedEntity-Miscellanies: RalphLenkertDIE LINKERalph Lenkert |frequenzy: 38
NamedEntity-Miscellanies: Allgemeinen Erklärung der Menschenrechte |frequenzy: 38
NamedEntity-Miscellanies: italienische |frequenzy: 38
NamedEntity-Miscellanies: Bibel |frequenzy: 38
NamedEntity-Miscellanies: Liebe Zuschauer |frequenzy: 38
NamedEntity-Miscellanies: Sankt-Nimmerleins-Tag |frequenzy: 38
NamedEntity-Miscellanies: Antrages |frequenzy: 38
NamedEntity-Miscellanies: Rentenkommission |frequenzy: 38
NamedEntity-Miscellanies: Solo-Selbstständige |frequenzy: 38
NamedEntity-Miscellanies: Aufenthaltsgesetz |frequenzy: 38
NamedEntity-Miscellanies: Dr ChristophHoffmannFDPDr |frequenzy: 38
NamedEntity-Miscellanies: DorisAchelwilmDIE LINKEDoris |frequenzy: 38
NamedEntity-Miscellanies: Arbeitslosengeld II |frequenzy: 37
NamedEntity-Miscellanies: GRÜNENKatja Keul |frequenzy: 37
NamedEntity-Miscellanies: Rot-Grün |frequenzy: 37
NamedEntity-Miscellanies: Jahr 2013 |frequenzy: 37
NamedEntity-Miscellanies: Kölner |frequenzy: 37
NamedEntity-Miscellanies: GRÜNENSven-Christian |frequenzy: 37
NamedEntity-Miscellanies: Dr Gero ClemensHockerFDPDr |frequenzy: 37
NamedEntity-Miscellanies: Friedlichen Revolution |frequenzy: 37
NamedEntity-Miscellanies: Agenda 2030 |frequenzy: 37
NamedEntity-Miscellanies: Tag aufs Neue |frequenzy: 37
NamedEntity-Miscellanies: Im Jahr 2017 |frequenzy: 37
NamedEntity-Miscellanies: Letztes Jahr |frequenzy: 37
NamedEntity-Miscellanies: Nord Stream 2 |frequenzy: 37
NamedEntity-Miscellanies: CSUEmmi |frequenzy: 36
NamedEntity-Miscellanies: Klimakrise |frequenzy: 36
NamedEntity-Miscellanies: Parteiengesetz |frequenzy: 36
NamedEntity-Miscellanies: Dr  Götz Frömming |frequenzy: 36
NamedEntity-Miscellanies: GRÜNENEkin |frequenzy: 36
NamedEntity-Miscellanies: Koran |frequenzy: 36
NamedEntity-Miscellanies: Tagesschau |frequenzy: 36
NamedEntity-Miscellanies: Operation Sophia |frequenzy: 36
NamedEntity-Miscellanies: Süddeutschen Zeitung |frequenzy: 36
NamedEntity-Miscellanies: Ersten Weltkrieg |frequenzy: 36
NamedEntity-Miscellanies: Agenda 2010 |frequenzy: 36
NamedEntity-Miscellanies: KarstenMöringCDU/CSUKarsten Möring |frequenzy: 36
NamedEntity-Miscellanies: Europäischen Menschenrechtskonvention |frequenzy: 36
NamedEntity-Miscellanies: Liebe Zuschauer! |frequenzy: 36
NamedEntity-Miscellanies: CSUChristoph |frequenzy: 36
NamedEntity-Miscellanies: Tagesordnungspunkt  |frequenzy: 36
NamedEntity-Miscellanies: sachlichen |frequenzy: 36
NamedEntity-Miscellanies: Frankfurter |frequenzy: 36
NamedEntity-Miscellanies: Personals |frequenzy: 35
NamedEntity-Miscellanies: Meister |frequenzy: 35
NamedEntity-Miscellanies: Schrodi |frequenzy: 35
NamedEntity-Miscellanies: Auswärtige |frequenzy: 35
NamedEntity-Miscellanies: Dr ManuelaRottmannBÜNDNIS 90/ |frequenzy: 35
NamedEntity-Miscellanies: Jung |frequenzy: 35
NamedEntity-Miscellanies: Hunger |frequenzy: 35
NamedEntity-Miscellanies: kommunistische |frequenzy: 35
NamedEntity-Miscellanies: französischer |frequenzy: 35
NamedEntity-Miscellanies: russisches |frequenzy: 35
NamedEntity-Miscellanies: RidderSPDDr |frequenzy: 35
NamedEntity-Miscellanies: SGB VIII |frequenzy: 34
NamedEntity-Miscellanies: katholischen |frequenzy: 34
NamedEntity-Miscellanies: Ställe |frequenzy: 34
NamedEntity-Miscellanies: Liebe Gäste |frequenzy: 34
NamedEntity-Miscellanies: Hauses  |frequenzy: 34
NamedEntity-Miscellanies: Operation Atalanta |frequenzy: 34
NamedEntity-Miscellanies: Überleben |frequenzy: 34
NamedEntity-Miscellanies: GRÜNENLuise |frequenzy: 34
NamedEntity-Miscellanies: Kohleausstiegsgesetz |frequenzy: 34
NamedEntity-Miscellanies: Friedliche Revolution |frequenzy: 34
NamedEntity-Miscellanies: Anwendungsbereich |frequenzy: 34
NamedEntity-Miscellanies: INF-Vertrages |frequenzy: 33
NamedEntity-Miscellanies: Agenda  |frequenzy: 33
NamedEntity-Miscellanies: Währungsunion |frequenzy: 33
NamedEntity-Miscellanies: SGB V |frequenzy: 33
NamedEntity-Miscellanies: Richter |frequenzy: 33
NamedEntity-Miscellanies: Pariser Abkommen |frequenzy: 33
NamedEntity-Miscellanies: Parlamentsarmee |frequenzy: 33
NamedEntity-Miscellanies: Ballungsgebieten |frequenzy: 33
NamedEntity-Miscellanies: GRÜNENHarald |frequenzy: 33
NamedEntity-Miscellanies: NorbertMüllerDIE |frequenzy: 33
NamedEntity-Miscellanies: bürokratisches |frequenzy: 32
NamedEntity-Miscellanies: Sven-ChristianKindlerBÜNDNIS 90/ |frequenzy: 32
NamedEntity-Miscellanies: ordnungspolitische |frequenzy: 32
NamedEntity-Miscellanies: KaiGehringBÜNDNIS |frequenzy: 32
NamedEntity-Miscellanies: 20  Jahrhunderts |frequenzy: 32
NamedEntity-Miscellanies: kürzester Zeit |frequenzy: 32
NamedEntity-Miscellanies: Handwerksbetriebe |frequenzy: 32
NamedEntity-Miscellanies: GRÜNENAnnalena |frequenzy: 32
NamedEntity-Miscellanies: sächsischen |frequenzy: 32
NamedEntity-Miscellanies: Dr FlorianToncarFDPDr |frequenzy: 32
NamedEntity-Miscellanies: herangehen |frequenzy: 32
