Speaker = Carsten Schneider

The Speaker: Carsten Schneider had used the following NOUNS: Herr | frequency: 105
The Speaker: Carsten Schneider had used the following NOUNS: Thema | frequency: 10
The Speaker: Carsten Schneider had used the following NOUNS: Fall | frequency: 10
The Speaker: Carsten Schneider had used the following NOUNS: Krise | frequency: 10
The Speaker: Carsten Schneider had used the following NOUNS: Woche | frequency: 10
The Speaker: Carsten Schneider had used the following NOUNS: Ende | frequency: 10
The Speaker: Carsten Schneider had used the following NOUNS: Minister | frequency: 9
The Speaker: Carsten Schneider had used the following NOUNS: Gesetzentwurf | frequency: 9
The Speaker: Carsten Schneider had used the following NOUNS: Verfügung | frequency: 9
The Speaker: Carsten Schneider had used the following NOUNS: SPD-Fraktion | frequency: 9
The Speaker: Carsten Schneider had used the following NOUNS: Grundlage | frequency: 9
The Speaker: Carsten Schneider had used the following NOUNS: Wachstum | frequency: 9
The Speaker: Carsten Schneider had used the following NOUNS: Arbeit | frequency: 9
The Speaker: Carsten Schneider had used the following NOUNS: Stunde | frequency: 9
The Speaker: Carsten Schneider had used the following NOUNS: Vizepräsidentin | frequency: 9
The Speaker: Carsten Schneider had used the following NOUNS: Bund | frequency: 9
The Speaker: Carsten Schneider had used the following NOUNS: Uhr | frequency: 9
The Speaker: Carsten Schneider had used the following NOUNS: Grüne | frequency: 9
The Speaker: Carsten Schneider had used the following NOUNS: Unternehmen | frequency: 8
The Speaker: Carsten Schneider had used the following NOUNS: AfD-Fraktion | frequency: 8
The Speaker: Carsten Schneider had used the following NOUNS: Volk | frequency: 8
The Speaker: Carsten Schneider had used the following NOUNS: Mehrheit | frequency: 8
The Speaker: Carsten Schneider had used the following NOUNS: Gesetz | frequency: 8
The Speaker: Carsten Schneider had used the following NOUNS: Schulde | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Aktuelle | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Russland | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Mitte | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Rahmen | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Stelle | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Mandat | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Interesse | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Idee | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Legislaturperiode | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Kosten | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Wahrheit | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Selbstverzwergung | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: CDU | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Höhe | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Aufgabe | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Gegenteil | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Konzept | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Haushalt | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Million | frequency: 7
The Speaker: Carsten Schneider had used the following NOUNS: Regel | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Bundesfinanzminister | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Politik | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Schuldenbremse | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Bereich | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Geschäftsordnung | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Respekt | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Bundeskanzlerin | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Koalition | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Möglichkeit | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Unabhängigkeit | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Schule | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Spitzensteuersatz | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Zahl | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Leben | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Verhältniswahlrecht | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Mitglied | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Seite | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Lage | frequency: 6
The Speaker: Carsten Schneider had used the following NOUNS: Legislatur | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Maßnahme | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Stimme | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Beispiel | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Mittelpunkt | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: FDP-Fraktion | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Präsidentin | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Steuerpolitik | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Generation | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Grundgesetz | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Vermittlungsausschusses | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Abgeordnetenentschädigung | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: CSU-Fraktion | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Bundesbank | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Steuerquote | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Anspruch | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Bewusstsein | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Ordnung | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Wahlkampf | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Sache | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Lösung | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Wirtschaft | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Sozialstaat | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Familie | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Job | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Transparenz | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Kontakt | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Auftrag | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Impfstoff | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Bundesrat | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Gesellschaft | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Gelegenheit | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Bevölkerung | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Zentralbank | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Situation | frequency: 5
The Speaker: Carsten Schneider had used the following NOUNS: Unternehmer | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Regelung | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: / | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Fehler | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Blick | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Freiheit | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Bundesminister | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Diskussion | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Übrigen | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Risiko | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Mittelstandsbauch | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Regierungsbefragung | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Geschichte | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Chance | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Stadt | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Anstieg | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Gewinn | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Sinn | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: recht | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Cent | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Verhältnis | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Recht | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Kandidat | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Anteil | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Kritik | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Finanzminister | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Schritt | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Pandemie | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Weihnachten | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Stabilität | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Investition | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Demokrat | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Sitzungswoche | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Bürgerin | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Zug | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Institution | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Kind | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Welt | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Nationalstaat | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Exportweltmeister | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Eindruck | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Verfahren | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: AfD | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Wahl | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Vertrauen | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Selbstverpflichtung | frequency: 4
The Speaker: Carsten Schneider had used the following NOUNS: Lesung | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Diät | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Anhörung | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Amt | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Bundesgesundheitsminister | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Ergebnis | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Ministerium | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Abschaffung | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Steigerung | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Position | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Gespräch | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: § | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Wahlkämpfen | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Zusammenarbeit | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Wettlauf | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Arbeitnehmer | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Forderung | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Bahntickets | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Steuereinnahmen | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Beratung | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: FabioDe | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Vergangenheit | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Kraft | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Leistung | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Gauland | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Abstimmung | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Öffentlichkeit | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Rückzahlung | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Jahrzehnt | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Mal | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Klima | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Pendlerpauschale | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Antwort | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Ziel | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Bürokratie | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Tagesordnung | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Lager | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Konsens | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Ziemiak | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Bekenntnis | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Herrn | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Vermittlungsausschuss | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Abgeordneter | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Maß | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Beitrag | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Deutsche | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Infrastruktur | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Sitzung | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Priorität | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Zusammenhang | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Ministerin | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Virus | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Gipfel | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Nagel | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Brücke | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Gegensatz | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Vernunft | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Angst | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Miete | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Friede | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Aussprache | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Interview | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Monat | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Grabenwahlrecht | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Wahlrecht | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Mär. | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Finanzkrise | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Plenum | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Moment | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Form | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Selbstverständlichkeit | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Nähe | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Bundeshaushalt | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Bündnis | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Vergleich | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Kontinent | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Maske | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Juni | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Unterstützung | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Vorwurf | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Bundestagspräsident | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Mittelstand | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Gebäudesanierung | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Sommer | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Auffassung | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Mittwoch | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Konsequenz | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Kontinuität | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Unionsfraktion | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Haltung | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Buch | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Urteil | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Minute | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Vorbild | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Freitag | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Repräsentant | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Bezug | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Sequenzierung | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Argument | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Berges | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Kompetenz | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Ausschuß | frequency: 3
The Speaker: Carsten Schneider had used the following NOUNS: Arbeitsgruppe | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Spruch | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Grenze | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Faktum | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Richtung | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Nebentätigkeiten | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Anfang | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Erörterungsprozess | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Koalitionsvertrag | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Einschränkung | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Erneuerbare-Energien-Gesetz | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Konjunktur | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Reichensteuer | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Begriff | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Hinweis | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Datum | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Maßgaben | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Vertreter | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Last | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Stück | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Universität | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Unternehmerinnen | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Weise | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Kopf | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Grundrente | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Ehre | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Listenabgeordnete | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Ministerpräsidenten | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Absprache | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Papier | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Kapazität | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Verhältniswahlrechtes | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Rückgang | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Arbeitnehmerinnen | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Arbeitsfähigkeit | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Roosevelt | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Plenarsaal | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Innenpolitik | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Glück | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Berg | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Gründung | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Anreiz | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Reaktion | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Intelligenz | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Fortschritt | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Beteiligung | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Hilfe | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Schüler | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Lehre | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Beschaffung | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Beginn | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Meldung | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Republik | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Mehrwertsteuer | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Kabinett | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Entlastung | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Superreichen | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Bote | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Ratschläge | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Schutzrechte | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Zwischenfrage | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Bildung | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Mär | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Ministerpräsident | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Hälfte | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Steuerhinterziehung | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Strecke | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Person | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Verbrechen | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Reform | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: EU-Kommission | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Ermächtigung | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Wahlkreissieger | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Föderalismus | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Steuerdumping | frequency: 2
The Speaker: Carsten Schneider had used the following NOUNS: Parallelen | frequency: 2
