NamedEntity-Organisation: CDU |frequenzy: 1002
NamedEntity-Organisation: Kommunen |frequenzy: 33
NamedEntity-Organisation: OECD |frequenzy: 33
NamedEntity-Organisation: Parlament |frequenzy: 32
NamedEntity-Organisation: Taliban |frequenzy: 31
NamedEntity-Organisation: Spiegel |frequenzy: 31
NamedEntity-Organisation: Pandemie |frequenzy: 29
NamedEntity-Organisation: EU-Staaten |frequenzy: 28
NamedEntity-Organisation: EU-Haushalt |frequenzy: 28
NamedEntity-Organisation: Liebe Bürger! |frequenzy: 28
NamedEntity-Organisation: EuGH |frequenzy: 26
NamedEntity-Organisation: EU-Richtlinie |frequenzy: 26
NamedEntity-Organisation: Europäischen Kommission |frequenzy: 26
NamedEntity-Organisation: Steuergeldern |frequenzy: 26
NamedEntity-Organisation: FDP-Antrag |frequenzy: 26
NamedEntity-Organisation: Sowjetunion |frequenzy: 26
NamedEntity-Organisation: Hisbollah |frequenzy: 25
NamedEntity-Organisation: Regierungsbank |frequenzy: 24
NamedEntity-Organisation: FAZ |frequenzy: 24
NamedEntity-Organisation: SED |frequenzy: 24
NamedEntity-Organisation: StGB |frequenzy: 24
NamedEntity-Organisation: EU-Mitgliedstaaten |frequenzy: 23
NamedEntity-Organisation: ESM |frequenzy: 23
NamedEntity-Organisation: Daimler |frequenzy: 23
NamedEntity-Organisation: Verteidigungsministerium |frequenzy: 22
NamedEntity-Organisation: BaFin |frequenzy: 22
NamedEntity-Organisation: Bundes |frequenzy: 22
NamedEntity-Organisation: Europäische Kommission |frequenzy: 22
NamedEntity-Organisation: RKI |frequenzy: 21
NamedEntity-Organisation: Bundesagentur für Arbeit |frequenzy: 21
NamedEntity-Organisation: KI |frequenzy: 21
NamedEntity-Organisation: SPD-Bundestagsfraktion |frequenzy: 20
NamedEntity-Organisation: EU-Recht |frequenzy: 20
NamedEntity-Organisation: VW |frequenzy: 20
NamedEntity-Organisation: Europäischen Parlament |frequenzy: 20
NamedEntity-Organisation: Justizministerium |frequenzy: 20
NamedEntity-Organisation: Liebe Kollegen! |frequenzy: 20
NamedEntity-Organisation: Ruin |frequenzy: 20
NamedEntity-Organisation: absurd |frequenzy: 20
NamedEntity-Organisation: BAMF |frequenzy: 19
NamedEntity-Organisation: Konkret |frequenzy: 19
NamedEntity-Organisation: Assad |frequenzy: 19
NamedEntity-Organisation: Werten |frequenzy: 19
NamedEntity-Organisation: IWF |frequenzy: 18
NamedEntity-Organisation: Bundesbank |frequenzy: 18
NamedEntity-Organisation: Bürger! |frequenzy: 18
NamedEntity-Organisation: E-Mobilität |frequenzy: 18
NamedEntity-Organisation: Schützen |frequenzy: 18
NamedEntity-Organisation: Nazis |frequenzy: 18
NamedEntity-Organisation: Abgeordnete! |frequenzy: 18
NamedEntity-Organisation: Konsum |frequenzy: 17
NamedEntity-Organisation: Militär |frequenzy: 17
NamedEntity-Organisation: deutsche Regierung |frequenzy: 17
NamedEntity-Organisation: EU-Verordnung |frequenzy: 17
NamedEntity-Organisation: Kommune |frequenzy: 16
NamedEntity-Organisation: Verfassungsschutz |frequenzy: 16
NamedEntity-Organisation: Euro-Zone |frequenzy: 16
NamedEntity-Organisation: OSZE |frequenzy: 16
NamedEntity-Organisation: Zentrum |frequenzy: 16
NamedEntity-Organisation: Weltgesundheitsorganisation |frequenzy: 15
NamedEntity-Organisation: PESCO |frequenzy: 15
NamedEntity-Organisation: KfW |frequenzy: 15
NamedEntity-Organisation: Europarat |frequenzy: 15
NamedEntity-Organisation: Ministerin! |frequenzy: 15
NamedEntity-Organisation: GRÜNEN |frequenzy: 15
NamedEntity-Organisation: Europäische Parlament |frequenzy: 15
NamedEntity-Organisation: Gesundheitsminister |frequenzy: 15
NamedEntity-Organisation: UN-Sicherheitsrat |frequenzy: 15
NamedEntity-Organisation: BMW |frequenzy: 14
NamedEntity-Organisation: GAP |frequenzy: 14
NamedEntity-Organisation: DSGVO |frequenzy: 14
NamedEntity-Organisation: Dr HelgeBraunBundesminister |frequenzy: 14
NamedEntity-Organisation: ARD |frequenzy: 14
NamedEntity-Organisation: Bundestags |frequenzy: 14
NamedEntity-Organisation: EU-Bürger |frequenzy: 14
NamedEntity-Organisation: Green Deal |frequenzy: 14
NamedEntity-Organisation: ZDF |frequenzy: 14
NamedEntity-Organisation: CETA |frequenzy: 14
NamedEntity-Organisation: HeimatBundesminister |frequenzy: 14
NamedEntity-Organisation: Hamas |frequenzy: 13
NamedEntity-Organisation: VolkerMünzAfDVolker Münz |frequenzy: 13
NamedEntity-Organisation: Ihres Antrags |frequenzy: 13
NamedEntity-Organisation: Wir Freie Demokraten |frequenzy: 13
NamedEntity-Organisation: Liberalen |frequenzy: 13
NamedEntity-Organisation: Bundesamt für Verfassungsschutz |frequenzy: 13
NamedEntity-Organisation: Streitkräften |frequenzy: 13
NamedEntity-Organisation: deutsche Steuerzahler |frequenzy: 13
NamedEntity-Organisation: Deutscher Bundestag |frequenzy: 13
NamedEntity-Organisation: Faschisten |frequenzy: 13
NamedEntity-Organisation: THW |frequenzy: 13
NamedEntity-Organisation: EU-Parlament |frequenzy: 12
NamedEntity-Organisation: Demokrat |frequenzy: 12
NamedEntity-Organisation: BGB |frequenzy: 12
NamedEntity-Organisation: UNO |frequenzy: 12
NamedEntity-Organisation: AfD! |frequenzy: 12
NamedEntity-Organisation: Protokoll gegeben 1 |frequenzy: 12
NamedEntity-Organisation: Deutsche Bahn |frequenzy: 12
NamedEntity-Organisation: Apple |frequenzy: 12
NamedEntity-Organisation: Fraktion |frequenzy: 11
NamedEntity-Organisation: Europäischen Zentralbank |frequenzy: 11
NamedEntity-Organisation: Deutsche Umwelthilfe |frequenzy: 11
NamedEntity-Organisation: UNHCR |frequenzy: 11
NamedEntity-Organisation: EU-Länder |frequenzy: 11
NamedEntity-Organisation: Hause! |frequenzy: 11
NamedEntity-Organisation: Christenverfolgung |frequenzy: 11
NamedEntity-Organisation: AuswärtigenBundesminister AAHeiko Maas |frequenzy: 11
NamedEntity-Organisation: Bund der Steuerzahler |frequenzy: 11
NamedEntity-Organisation: Wehrmacht |frequenzy: 11
NamedEntity-Organisation: UNIFIL |frequenzy: 11
NamedEntity-Organisation: Ihrer Partei |frequenzy: 11
NamedEntity-Organisation: IS |frequenzy: 11
NamedEntity-Organisation: deutschen Steuerzahler |frequenzy: 11
NamedEntity-Organisation: Gewerkschaft |frequenzy: 11
NamedEntity-Organisation: der Grünen |frequenzy: 11
NamedEntity-Organisation: Deutschen Bahn |frequenzy: 10
NamedEntity-Organisation: konkret |frequenzy: 10
NamedEntity-Organisation: Deutschen Welle |frequenzy: 10
NamedEntity-Organisation: wir Grünen |frequenzy: 10
NamedEntity-Organisation: Stasi |frequenzy: 10
NamedEntity-Organisation: GKV |frequenzy: 10
NamedEntity-Organisation: Wir Freien Demokraten |frequenzy: 10
NamedEntity-Organisation: Parlamente |frequenzy: 10
NamedEntity-Organisation: Lufthansa |frequenzy: 10
NamedEntity-Organisation: Universität |frequenzy: 10
NamedEntity-Organisation: AfD-Bundestagsfraktion |frequenzy: 10
NamedEntity-Organisation: Europäischen Rat |frequenzy: 10
NamedEntity-Organisation: Ostdeutschland |frequenzy: 10
NamedEntity-Organisation: Minister! |frequenzy: 10
NamedEntity-Organisation: SED-Diktatur |frequenzy: 10
NamedEntity-Organisation: BMZ |frequenzy: 10
NamedEntity-Organisation: Tagesspiegel |frequenzy: 10
NamedEntity-Organisation: EUTM Mali |frequenzy: 10
NamedEntity-Organisation: Ihre Partei |frequenzy: 10
NamedEntity-Organisation: BMF |frequenzy: 10
NamedEntity-Organisation: Kirche |frequenzy: 10
NamedEntity-Organisation: DGB |frequenzy: 10
NamedEntity-Organisation: Liebe Bürger |frequenzy: 9
NamedEntity-Organisation: BMBF |frequenzy: 9
NamedEntity-Organisation: EWG |frequenzy: 9
NamedEntity-Organisation: BDI |frequenzy: 9
NamedEntity-Organisation: Glyphosat |frequenzy: 9
NamedEntity-Organisation: Gutes |frequenzy: 9
NamedEntity-Organisation: BMI |frequenzy: 9
NamedEntity-Organisation: Audi |frequenzy: 9
NamedEntity-Organisation: Wählerinnen |frequenzy: 9
NamedEntity-Organisation: Bundesminister für Arbeit und Soziales |frequenzy: 9
NamedEntity-Organisation: Herr Minister |frequenzy: 9
NamedEntity-Organisation: Warum |frequenzy: 9
NamedEntity-Organisation: Ministerin |frequenzy: 9
NamedEntity-Organisation: UNAMID |frequenzy: 9
NamedEntity-Organisation: Wir Grünen |frequenzy: 9
NamedEntity-Organisation: EU  |frequenzy: 9
NamedEntity-Organisation: Deutsche Welle |frequenzy: 9
NamedEntity-Organisation: Jusos |frequenzy: 9
NamedEntity-Organisation: BMEL |frequenzy: 9
NamedEntity-Organisation: Liebe FDP |frequenzy: 9
NamedEntity-Organisation: Bundesminister für Gesundheit |frequenzy: 9
NamedEntity-Organisation: Faschismus |frequenzy: 9
NamedEntity-Organisation: Bertelsmann-Stiftung |frequenzy: 9
NamedEntity-Organisation: Terror |frequenzy: 9
NamedEntity-Organisation: Siemens |frequenzy: 9
NamedEntity-Organisation: UN-Mandat |frequenzy: 9
NamedEntity-Organisation: DIE LINKE |frequenzy: 8
NamedEntity-Organisation: UlrichOehmeAfDUlrich |frequenzy: 8
NamedEntity-Organisation: Parität |frequenzy: 8
NamedEntity-Organisation: Gemeinschaft |frequenzy: 8
NamedEntity-Organisation: BMJV |frequenzy: 8
NamedEntity-Organisation: Europa |frequenzy: 8
NamedEntity-Organisation: Europaparlament |frequenzy: 8
NamedEntity-Organisation: BND |frequenzy: 8
NamedEntity-Organisation: Commerzbank |frequenzy: 8
NamedEntity-Organisation: Unterhaus |frequenzy: 8
NamedEntity-Organisation: FinanzenBundesminister |frequenzy: 8
NamedEntity-Organisation: EU-Ratspräsidentschaft |frequenzy: 8
NamedEntity-Organisation: Die Welt |frequenzy: 8
NamedEntity-Organisation: AufgabenBundesminister |frequenzy: 8
NamedEntity-Organisation: Europäische Gerichtshof |frequenzy: 8
NamedEntity-Organisation: Russland |frequenzy: 8
NamedEntity-Organisation: FIU |frequenzy: 8
NamedEntity-Organisation: EU-Bürokratie |frequenzy: 8
NamedEntity-Organisation: Charité |frequenzy: 8
NamedEntity-Organisation: Wir Linke |frequenzy: 8
NamedEntity-Organisation: Europäischen Gerichtshof |frequenzy: 8
NamedEntity-Organisation: Bundesamt für Migration und Flüchtlinge |frequenzy: 7
NamedEntity-Organisation: Geehrte |frequenzy: 7
NamedEntity-Organisation: Marine |frequenzy: 7
NamedEntity-Organisation: NSU |frequenzy: 7
NamedEntity-Organisation: Herren Kollegen! |frequenzy: 7
NamedEntity-Organisation: WTO |frequenzy: 7
NamedEntity-Organisation: GRÜNENMaria Klein-Schmeink |frequenzy: 7
NamedEntity-Organisation: GAK |frequenzy: 7
NamedEntity-Organisation: EU-Armee |frequenzy: 7
NamedEntity-Organisation: Regierungshandeln |frequenzy: 7
NamedEntity-Organisation: Umweltbundesamt |frequenzy: 7
NamedEntity-Organisation: Institut der deutschen Wirtschaft |frequenzy: 7
NamedEntity-Organisation: IPCC |frequenzy: 7
NamedEntity-Organisation: Klimaneutralität |frequenzy: 7
NamedEntity-Organisation: EU-Verträge |frequenzy: 7
NamedEntity-Organisation: Deutschen Bundestag! |frequenzy: 7
NamedEntity-Organisation: Präsidium! |frequenzy: 7
NamedEntity-Organisation: Amnesty International |frequenzy: 7
NamedEntity-Organisation: SGB |frequenzy: 7
NamedEntity-Organisation: Weltbild |frequenzy: 7
NamedEntity-Organisation: Bundeskanzlerin |frequenzy: 7
NamedEntity-Organisation: Kommission „Gleichwertige Lebensverhältnisse |frequenzy: 7
NamedEntity-Organisation: stimmt |frequenzy: 7
NamedEntity-Organisation: BMASHubertus Heil |frequenzy: 7
NamedEntity-Organisation: Human Rights Watch |frequenzy: 7
NamedEntity-Organisation: Werter Herr |frequenzy: 7
NamedEntity-Organisation: Europäischen Union  |frequenzy: 7
NamedEntity-Organisation: Energie- und Klimafonds |frequenzy: 7
NamedEntity-Organisation: Freie Demokraten |frequenzy: 7
NamedEntity-Organisation: Müller |frequenzy: 6
NamedEntity-Organisation: SicherheitBundesministerin |frequenzy: 6
NamedEntity-Organisation: Paketbranche |frequenzy: 6
NamedEntity-Organisation: EU-Ausland |frequenzy: 6
NamedEntity-Organisation: Deutschen Bundestags |frequenzy: 6
NamedEntity-Organisation: Huawei |frequenzy: 6
NamedEntity-Organisation: Altfraktionen |frequenzy: 6
NamedEntity-Organisation: Konservativen |frequenzy: 6
NamedEntity-Organisation: Bundesministerin für Umwelt |frequenzy: 6
NamedEntity-Organisation: ThorstenFreiCDU |frequenzy: 6
NamedEntity-Organisation: UNMISS |frequenzy: 6
NamedEntity-Organisation: Innenministeriums |frequenzy: 6
NamedEntity-Organisation: Maier |frequenzy: 6
NamedEntity-Organisation: Verbraucherzentralen |frequenzy: 6
NamedEntity-Organisation: EU-Steuern |frequenzy: 6
NamedEntity-Organisation: Europarats |frequenzy: 6
NamedEntity-Organisation: AumerDorothee BärThomas BareißNorbert |frequenzy: 6
NamedEntity-Organisation: Zeit Online |frequenzy: 6
NamedEntity-Organisation: Landwirtschaftsministerium |frequenzy: 6
NamedEntity-Organisation: Deutschen Umwelthilfe |frequenzy: 6
NamedEntity-Organisation: Weltbank |frequenzy: 6
NamedEntity-Organisation: DDR-Zeiten |frequenzy: 6
NamedEntity-Organisation: Airbus |frequenzy: 6
NamedEntity-Organisation: Mercedes |frequenzy: 6
NamedEntity-Organisation: GRÜNENOliver |frequenzy: 6
NamedEntity-Organisation: Kindergeldes |frequenzy: 6
NamedEntity-Organisation: Links-Grün |frequenzy: 6
NamedEntity-Organisation: Migranten |frequenzy: 6
NamedEntity-Organisation: Volkswagen |frequenzy: 6
NamedEntity-Organisation: Deutsche Institut für Wirtschaftsforschung |frequenzy: 6
NamedEntity-Organisation: DITIB |frequenzy: 6
NamedEntity-Organisation: Kommunisten |frequenzy: 6
NamedEntity-Organisation: deutschen Gesellschaft |frequenzy: 6
NamedEntity-Organisation: Die Grünen der Kollege |frequenzy: 6
NamedEntity-Organisation: Deutschen Bank |frequenzy: 6
NamedEntity-Organisation: Herr Amthor |frequenzy: 6
NamedEntity-Organisation: EU-Ausländer |frequenzy: 6
NamedEntity-Organisation: AbercronStephan |frequenzy: 6
NamedEntity-Organisation: Bundesamt für Justiz |frequenzy: 6
NamedEntity-Organisation: EU-Ländern |frequenzy: 6
NamedEntity-Organisation: freiheitliche Partei |frequenzy: 6
NamedEntity-Organisation: Wand |frequenzy: 6
NamedEntity-Organisation: AEUV |frequenzy: 6
NamedEntity-Organisation: Worum |frequenzy: 6
NamedEntity-Organisation: Europäischen Gerichtshofs |frequenzy: 6
NamedEntity-Organisation: Bundesamtes für Verfassungsschutz |frequenzy: 6
NamedEntity-Organisation: deutschen Regierung |frequenzy: 6
NamedEntity-Organisation: Sea Guardian |frequenzy: 6
NamedEntity-Organisation: Deutschlands |frequenzy: 6
NamedEntity-Organisation: Minister Spahn |frequenzy: 6
NamedEntity-Organisation: Fridays for Future |frequenzy: 6
NamedEntity-Organisation: Afrikanischen Union |frequenzy: 6
NamedEntity-Organisation: Rheinmetall |frequenzy: 6
NamedEntity-Organisation: Heeres |frequenzy: 6
NamedEntity-Organisation: KFOR |frequenzy: 6
NamedEntity-Organisation: Staatsrechtslehrer |frequenzy: 5
NamedEntity-Organisation: Bauminister |frequenzy: 5
NamedEntity-Organisation: Jugoslawien |frequenzy: 5
NamedEntity-Organisation: Afrikanische Union |frequenzy: 5
NamedEntity-Organisation: Indymedia |frequenzy: 5
NamedEntity-Organisation: Kollege Amthor |frequenzy: 5
NamedEntity-Organisation: Bundesarchiv |frequenzy: 5
NamedEntity-Organisation: NABU |frequenzy: 5
NamedEntity-Organisation: Bundesnachrichtendienst |frequenzy: 5
NamedEntity-Organisation: Werkbank |frequenzy: 5
NamedEntity-Organisation: ADAC |frequenzy: 5
NamedEntity-Organisation: Bundesministerium für Gesundheit |frequenzy: 5
NamedEntity-Organisation: UN-Kinderrechtskonvention |frequenzy: 5
NamedEntity-Organisation: Omid Nouripour |frequenzy: 5
NamedEntity-Organisation: Portemonnaie |frequenzy: 5
NamedEntity-Organisation: NPD |frequenzy: 5
NamedEntity-Organisation: KSK |frequenzy: 5
NamedEntity-Organisation: Deutsche Gewerkschaftsbund |frequenzy: 5
NamedEntity-Organisation: Zeit! |frequenzy: 5
NamedEntity-Organisation: IT-Systeme |frequenzy: 5
NamedEntity-Organisation: Die Bahn |frequenzy: 5
NamedEntity-Organisation: IT-Sicherheit |frequenzy: 5
NamedEntity-Organisation: Frontex |frequenzy: 5
NamedEntity-Organisation: Afrikanischen Schweinepest |frequenzy: 5
NamedEntity-Organisation: Justizministeriums |frequenzy: 5
NamedEntity-Organisation: Internationalen Währungsfonds |frequenzy: 5
NamedEntity-Organisation: europäischen Partnern |frequenzy: 5
NamedEntity-Organisation: Europäischen Gemeinschaft |frequenzy: 5
NamedEntity-Organisation: ALARM! |frequenzy: 5
NamedEntity-Organisation: Europas |frequenzy: 5
NamedEntity-Organisation: NS-Verbrechen |frequenzy: 5
NamedEntity-Organisation: EU-Agrarpolitik |frequenzy: 5
NamedEntity-Organisation: Christdemokraten |frequenzy: 5
NamedEntity-Organisation: SAP |frequenzy: 5
NamedEntity-Organisation: EEG-Umlage |frequenzy: 5
NamedEntity-Organisation: Institut für Arbeitsmarkt- und Berufsforschung |frequenzy: 5
NamedEntity-Organisation: UNRWA |frequenzy: 5
NamedEntity-Organisation: Präsident! Meine |frequenzy: 5
NamedEntity-Organisation: Katar |frequenzy: 5
NamedEntity-Organisation: Europäischen Parlaments |frequenzy: 5
NamedEntity-Organisation: EU-Institutionen |frequenzy: 5
NamedEntity-Organisation: Liberale |frequenzy: 5
NamedEntity-Organisation: Justizhaushalt |frequenzy: 5
NamedEntity-Organisation: Erachtens |frequenzy: 5
NamedEntity-Organisation: EU-Bürgern |frequenzy: 5
NamedEntity-Organisation: Saudi-Arabien |frequenzy: 5
NamedEntity-Organisation: BSI |frequenzy: 5
NamedEntity-Organisation: EnergieBundesminister |frequenzy: 5
NamedEntity-Organisation: Weimarer Republik |frequenzy: 5
NamedEntity-Organisation: Porsche |frequenzy: 5
NamedEntity-Organisation: DRG-Systems |frequenzy: 5
NamedEntity-Organisation: PeterAltmaierBundesminister für Wirtschaft |frequenzy: 5
NamedEntity-Organisation: Deutsche Bank |frequenzy: 5
NamedEntity-Organisation: Bundesminister für Verkehr |frequenzy: 5
NamedEntity-Organisation: ‚ |frequenzy: 5
NamedEntity-Organisation: Liquidität |frequenzy: 5
NamedEntity-Organisation: Erweiterung |frequenzy: 5
NamedEntity-Organisation: Bundesminister für Wirtschaft und Energie |frequenzy: 5
NamedEntity-Organisation: Kollege Gutting |frequenzy: 5
NamedEntity-Organisation: DIW |frequenzy: 5
NamedEntity-Organisation: NS-Regimes |frequenzy: 5
NamedEntity-Organisation: Effizienz |frequenzy: 5
NamedEntity-Organisation: Microsoft |frequenzy: 5
NamedEntity-Organisation: Bundeskanzleramt |frequenzy: 5
NamedEntity-Organisation: ZIM |frequenzy: 5
NamedEntity-Organisation: Souveräns |frequenzy: 5
NamedEntity-Organisation: Auskunft |frequenzy: 5
NamedEntity-Organisation: Luftwaffe |frequenzy: 5
NamedEntity-Organisation: Der Spiegel |frequenzy: 5
NamedEntity-Organisation: deutschen Parlament |frequenzy: 5
NamedEntity-Organisation: Europäische Zentralbank |frequenzy: 5
NamedEntity-Organisation: Shoah |frequenzy: 5
NamedEntity-Organisation: Finanzministeriums |frequenzy: 5
NamedEntity-Organisation: Gesundheitsminister Spahn |frequenzy: 5
NamedEntity-Organisation: Institut für Weltwirtschaft |frequenzy: 4
NamedEntity-Organisation: European Green Deal |frequenzy: 4
NamedEntity-Organisation: al-Qaida |frequenzy: 4
NamedEntity-Organisation: Euro-Südländer |frequenzy: 4
NamedEntity-Organisation: CSUOlav Gutting |frequenzy: 4
NamedEntity-Organisation: Greenpeace |frequenzy: 4
NamedEntity-Organisation: Einwanderern |frequenzy: 4
NamedEntity-Organisation: Fraunhofer-Institut |frequenzy: 4
NamedEntity-Organisation: Air Berlin |frequenzy: 4
NamedEntity-Organisation: Bundesverband der Deutschen Industrie |frequenzy: 4
NamedEntity-Organisation: EntwicklungBundesminister BMZDr |frequenzy: 4
NamedEntity-Organisation: Tribüne! |frequenzy: 4
NamedEntity-Organisation: IOM |frequenzy: 4
NamedEntity-Organisation: Herren Kollegen |frequenzy: 4
NamedEntity-Organisation: FritzGüntzlerCDU |frequenzy: 4
NamedEntity-Organisation: Bund-Länder-Arbeitsgruppe |frequenzy: 4
NamedEntity-Organisation: Entwicklungsministerium |frequenzy: 4
NamedEntity-Organisation: Bundesinstitut für Risikobewertung |frequenzy: 4
NamedEntity-Organisation: DAAD |frequenzy: 4
NamedEntity-Organisation: Digitale Agenda |frequenzy: 4
NamedEntity-Organisation: Gewerkschafter |frequenzy: 4
NamedEntity-Organisation: Agentur für Arbeit |frequenzy: 4
NamedEntity-Organisation: Hotspots |frequenzy: 4
NamedEntity-Organisation: PDS |frequenzy: 4
NamedEntity-Organisation: VerteidigungBundesministerin |frequenzy: 4
NamedEntity-Organisation: Bundesminister für wirtschaftliche Zusammenarbeit und Entwicklung |frequenzy: 4
NamedEntity-Organisation: RWE |frequenzy: 4
NamedEntity-Organisation: Golfstaaten |frequenzy: 4
NamedEntity-Organisation: EU-Außengrenze |frequenzy: 4
NamedEntity-Organisation: EU-Regelungen |frequenzy: 4
NamedEntity-Organisation: PETA |frequenzy: 4
NamedEntity-Organisation: EXIST |frequenzy: 4
NamedEntity-Organisation: BMWi |frequenzy: 4
NamedEntity-Organisation: Einzelplan |frequenzy: 4
NamedEntity-Organisation: EFSF |frequenzy: 4
NamedEntity-Organisation: Rettung |frequenzy: 4
NamedEntity-Organisation: STIKO |frequenzy: 4
NamedEntity-Organisation: EU-Außengrenzen |frequenzy: 4
NamedEntity-Organisation: Mieterbund |frequenzy: 4
NamedEntity-Organisation: ETS |frequenzy: 4
NamedEntity-Organisation: PhilippAmthorCDU |frequenzy: 4
NamedEntity-Organisation: Atalanta |frequenzy: 4
NamedEntity-Organisation: APAS |frequenzy: 4
NamedEntity-Organisation: GRÜNENClaudia |frequenzy: 4
NamedEntity-Organisation: TUI |frequenzy: 4
NamedEntity-Organisation: Die Linke? |frequenzy: 4
NamedEntity-Organisation: Times |frequenzy: 4
NamedEntity-Organisation: Beitrags |frequenzy: 4
NamedEntity-Organisation: GRÜNENOmid Nouripour |frequenzy: 4
NamedEntity-Organisation: Dogma |frequenzy: 4
NamedEntity-Organisation: GRW |frequenzy: 4
NamedEntity-Organisation: Europäischen Währungsfonds |frequenzy: 4
NamedEntity-Organisation: NSDAP |frequenzy: 4
NamedEntity-Organisation: Deutschen Demokratischen Republik |frequenzy: 4
NamedEntity-Organisation: Verbrennungsmotors |frequenzy: 4
NamedEntity-Organisation: demokratische Partei |frequenzy: 4
NamedEntity-Organisation: Dr AchimKesslerDIE LINKEDr |frequenzy: 4
NamedEntity-Organisation: KarstenHilseAfDKarsten |frequenzy: 4
NamedEntity-Organisation: SED-Regimes |frequenzy: 4
NamedEntity-Organisation: Europäischen Investitionsbank |frequenzy: 4
NamedEntity-Organisation: Minister Müller! |frequenzy: 4
NamedEntity-Organisation: SS |frequenzy: 4
NamedEntity-Organisation: Aktion Pflege |frequenzy: 4
NamedEntity-Organisation: Deutsche Kinderhilfswerk |frequenzy: 4
NamedEntity-Organisation: Heike Baehrens |frequenzy: 4
NamedEntity-Organisation: Europäische Wirtschaftsgemeinschaft |frequenzy: 4
NamedEntity-Organisation: ElisabethWinkelmeier-BeckerCDU |frequenzy: 4
NamedEntity-Organisation: Hoteliers |frequenzy: 4
NamedEntity-Organisation: Jobcentern |frequenzy: 4
NamedEntity-Organisation: AstraZeneca |frequenzy: 4
NamedEntity-Organisation: Antrags der Grünen |frequenzy: 4
NamedEntity-Organisation: KfW Capital |frequenzy: 4
NamedEntity-Organisation: Bundesverwaltungsamt |frequenzy: 4
NamedEntity-Organisation: Open Doors |frequenzy: 4
NamedEntity-Organisation: Bundesministerium für Umwelt, Naturschutz |frequenzy: 4
NamedEntity-Organisation: CSUPhilipp Amthor |frequenzy: 4
NamedEntity-Organisation: Deutschen Rentenversicherung |frequenzy: 4
NamedEntity-Organisation: BfV |frequenzy: 4
NamedEntity-Organisation: EU-Haushalts |frequenzy: 4
NamedEntity-Organisation: Elterngeld Plus |frequenzy: 4
