NamedEntity-Organisation: CDU |frequenzy: 5237
NamedEntity-Organisation: Gemeinschaft |frequenzy: 83
NamedEntity-Organisation: THW |frequenzy: 83
NamedEntity-Organisation: UNHCR |frequenzy: 83
NamedEntity-Organisation: InfrastrukturBundesminister |frequenzy: 83
NamedEntity-Organisation: DGB |frequenzy: 82
NamedEntity-Organisation: IWF |frequenzy: 81
NamedEntity-Organisation: Ostdeutschland |frequenzy: 81
NamedEntity-Organisation: EntwicklungBundesminister BMZDr |frequenzy: 81
NamedEntity-Organisation: BDI |frequenzy: 80
NamedEntity-Organisation: E-Mobilität |frequenzy: 78
NamedEntity-Organisation: IS |frequenzy: 77
NamedEntity-Organisation: Bundesamt für Verfassungsschutz |frequenzy: 77
NamedEntity-Organisation: Ihres Antrags |frequenzy: 75
NamedEntity-Organisation: StGB |frequenzy: 74
NamedEntity-Organisation: Deutsche Bahn |frequenzy: 74
NamedEntity-Organisation: Faschismus |frequenzy: 74
NamedEntity-Organisation: Verfassungsschutz |frequenzy: 74
NamedEntity-Organisation: Liebe Kollegen |frequenzy: 74
NamedEntity-Organisation: Daimler |frequenzy: 73
NamedEntity-Organisation: AufgabenBundesminister |frequenzy: 72
NamedEntity-Organisation: EU-Ratspräsidentschaft |frequenzy: 71
NamedEntity-Organisation: NSU |frequenzy: 70
NamedEntity-Organisation: GRÜNENOliver |frequenzy: 70
NamedEntity-Organisation: Apple |frequenzy: 70
NamedEntity-Organisation: Regierungsbank |frequenzy: 69
NamedEntity-Organisation: Wir Linke |frequenzy: 68
NamedEntity-Organisation: Gewerkschaft |frequenzy: 68
NamedEntity-Organisation: Deutschen Bundestags |frequenzy: 68
NamedEntity-Organisation: BGB |frequenzy: 68
NamedEntity-Organisation: UN-Behindertenrechtskonvention |frequenzy: 67
NamedEntity-Organisation: AndreasScheuerBundesminister für Verkehr |frequenzy: 67
NamedEntity-Organisation: GRÜNEN |frequenzy: 66
NamedEntity-Organisation: Bundesamt für Migration und Flüchtlinge |frequenzy: 65
NamedEntity-Organisation: Europäischen Gerichtshof |frequenzy: 65
NamedEntity-Organisation: UNIFIL |frequenzy: 65
NamedEntity-Organisation: Europäische Gerichtshof |frequenzy: 64
NamedEntity-Organisation: PESCO |frequenzy: 64
NamedEntity-Organisation: EU-Recht |frequenzy: 64
NamedEntity-Organisation: CETA |frequenzy: 63
NamedEntity-Organisation: ThorstenFreiCDU |frequenzy: 63
NamedEntity-Organisation: Klimaneutralität |frequenzy: 63
NamedEntity-Organisation: GAP |frequenzy: 63
NamedEntity-Organisation: Ministerin! |frequenzy: 62
NamedEntity-Organisation: Parlamente |frequenzy: 62
NamedEntity-Organisation: Bundeskanzleramt |frequenzy: 62
NamedEntity-Organisation: Green Deal |frequenzy: 62
NamedEntity-Organisation: Kirche |frequenzy: 61
NamedEntity-Organisation: Sozialdemokrat |frequenzy: 60
NamedEntity-Organisation: Fridays for Future |frequenzy: 60
NamedEntity-Organisation: Bundesbank |frequenzy: 60
NamedEntity-Organisation: Europaparlament |frequenzy: 59
NamedEntity-Organisation: Ihre Partei |frequenzy: 59
NamedEntity-Organisation: Universität |frequenzy: 59
NamedEntity-Organisation: ZDF |frequenzy: 58
NamedEntity-Organisation: Charité |frequenzy: 58
NamedEntity-Organisation: Energie- und Klimafonds |frequenzy: 58
NamedEntity-Organisation: BMZ |frequenzy: 57
NamedEntity-Organisation: Gutes |frequenzy: 57
NamedEntity-Organisation: Liebe FDP |frequenzy: 56
NamedEntity-Organisation: Parität |frequenzy: 56
NamedEntity-Organisation: Minister! |frequenzy: 56
NamedEntity-Organisation: Kommission „Gleichwertige Lebensverhältnisse |frequenzy: 56
NamedEntity-Organisation: Wählerinnen |frequenzy: 56
NamedEntity-Organisation: EU-Verordnung |frequenzy: 55
NamedEntity-Organisation: BSI |frequenzy: 55
NamedEntity-Organisation: EU-Bürger |frequenzy: 55
NamedEntity-Organisation: GRÜNENMaria Klein-Schmeink |frequenzy: 55
NamedEntity-Organisation: Europäischen Zentralbank |frequenzy: 55
NamedEntity-Organisation: Afrikanischen Union |frequenzy: 55
NamedEntity-Organisation: Europäischen Gerichtshofs |frequenzy: 54
NamedEntity-Organisation: Deutsche Umwelthilfe |frequenzy: 54
NamedEntity-Organisation: der Grünen |frequenzy: 54
NamedEntity-Organisation: IT-Sicherheit |frequenzy: 54
NamedEntity-Organisation: Europarats |frequenzy: 54
NamedEntity-Organisation: FranziskaGiffeyBundesministerin für Familie |frequenzy: 53
NamedEntity-Organisation: UNICEF |frequenzy: 53
NamedEntity-Organisation: EUTM Mali |frequenzy: 52
NamedEntity-Organisation: Europäischen Parlaments |frequenzy: 52
NamedEntity-Organisation: Die Grünen der Kollege |frequenzy: 52
NamedEntity-Organisation: GKV |frequenzy: 52
NamedEntity-Organisation: BMEL |frequenzy: 51
NamedEntity-Organisation: CSUPhilipp Amthor |frequenzy: 51
NamedEntity-Organisation: BMJV |frequenzy: 51
NamedEntity-Organisation: Atalanta |frequenzy: 50
NamedEntity-Organisation: FDP-Bundestagsfraktion |frequenzy: 50
NamedEntity-Organisation: Tagesspiegel |frequenzy: 49
NamedEntity-Organisation: UNAMID |frequenzy: 49
NamedEntity-Organisation: Warum |frequenzy: 49
NamedEntity-Organisation: BMF |frequenzy: 48
NamedEntity-Organisation: NATO-Staaten |frequenzy: 48
NamedEntity-Organisation: Glyphosat |frequenzy: 48
NamedEntity-Organisation: Regierungshandeln |frequenzy: 48
NamedEntity-Organisation: Schützen |frequenzy: 47
NamedEntity-Organisation: Siemens |frequenzy: 47
NamedEntity-Organisation: Streitkräften |frequenzy: 47
NamedEntity-Organisation: Marine |frequenzy: 46
NamedEntity-Organisation: EU-Länder |frequenzy: 46
NamedEntity-Organisation: Europäische Zentralbank |frequenzy: 46
NamedEntity-Organisation: PhilippAmthorCDU |frequenzy: 46
NamedEntity-Organisation: Deutsche Bank |frequenzy: 46
NamedEntity-Organisation: Ruin |frequenzy: 45
NamedEntity-Organisation: BND |frequenzy: 45
NamedEntity-Organisation: Bundestags |frequenzy: 45
NamedEntity-Organisation: KFOR |frequenzy: 45
NamedEntity-Organisation: Erachtens |frequenzy: 45
NamedEntity-Organisation: Liquidität |frequenzy: 45
NamedEntity-Organisation: ARD |frequenzy: 44
NamedEntity-Organisation: BMG |frequenzy: 44
NamedEntity-Organisation: Weimarer Republik |frequenzy: 44
NamedEntity-Organisation: Omid Nouripour |frequenzy: 44
NamedEntity-Organisation: GAK |frequenzy: 44
NamedEntity-Organisation: DSGVO |frequenzy: 43
NamedEntity-Organisation: Faschisten |frequenzy: 42
NamedEntity-Organisation: GRÜNENRenate |frequenzy: 42
NamedEntity-Organisation: CSUFlorian |frequenzy: 42
NamedEntity-Organisation: Küstenwache |frequenzy: 42
NamedEntity-Organisation: ElisabethMotschmannCDU |frequenzy: 42
NamedEntity-Organisation: GRÜNENOmid Nouripour |frequenzy: 42
NamedEntity-Organisation: Hamas |frequenzy: 42
NamedEntity-Organisation: Demokrat |frequenzy: 42
NamedEntity-Organisation: Europäischen Währungsfonds |frequenzy: 41
NamedEntity-Organisation: europäischen Partnern |frequenzy: 41
NamedEntity-Organisation: Deutschen Welle |frequenzy: 41
NamedEntity-Organisation: Sea Guardian |frequenzy: 41
NamedEntity-Organisation: SED-Diktatur |frequenzy: 41
NamedEntity-Organisation: Wehrmacht |frequenzy: 41
NamedEntity-Organisation: Bundesamtes für Verfassungsschutz |frequenzy: 40
NamedEntity-Organisation: PeterWeißCDU |frequenzy: 40
NamedEntity-Organisation: FritzGüntzlerCDU |frequenzy: 40
NamedEntity-Organisation: Europa |frequenzy: 40
NamedEntity-Organisation: SGB |frequenzy: 40
NamedEntity-Organisation: EU-Parlament |frequenzy: 40
NamedEntity-Organisation: WTO |frequenzy: 40
NamedEntity-Organisation: Bundesfinanzministers |frequenzy: 40
NamedEntity-Organisation: uns Grünen |frequenzy: 40
NamedEntity-Organisation: Terror |frequenzy: 40
NamedEntity-Organisation: ChristineAschenberg-DugnusFDPChristine |frequenzy: 39
NamedEntity-Organisation: Bundesministerium für Gesundheit |frequenzy: 39
NamedEntity-Organisation: Europäische Rat |frequenzy: 39
NamedEntity-Organisation: Caritas |frequenzy: 39
NamedEntity-Organisation: Erweiterung |frequenzy: 39
NamedEntity-Organisation: Liebe Bürger! |frequenzy: 39
NamedEntity-Organisation: Bundeszentrale für gesundheitliche Aufklärung |frequenzy: 39
NamedEntity-Organisation: Commerzbank |frequenzy: 39
NamedEntity-Organisation: wir Freien Demokraten |frequenzy: 39
NamedEntity-Organisation: Volkswagen |frequenzy: 38
NamedEntity-Organisation: Bertelsmann-Stiftung |frequenzy: 38
NamedEntity-Organisation: Russland |frequenzy: 38
NamedEntity-Organisation: Amnesty International |frequenzy: 38
NamedEntity-Organisation: Bundeskanzlerin |frequenzy: 38
NamedEntity-Organisation: Hause! |frequenzy: 38
NamedEntity-Organisation: Frontex |frequenzy: 38
NamedEntity-Organisation: Ministerin |frequenzy: 38
NamedEntity-Organisation: Weltbank |frequenzy: 38
NamedEntity-Organisation: StephanStrackeCDU |frequenzy: 37
NamedEntity-Organisation: FIU |frequenzy: 37
NamedEntity-Organisation: Dr AchimKesslerDIE LINKEDr |frequenzy: 37
NamedEntity-Organisation: BMWi |frequenzy: 37
NamedEntity-Organisation: Dr PetraSitteDIE LINKEDr |frequenzy: 37
NamedEntity-Organisation: Bundesamt |frequenzy: 37
NamedEntity-Organisation: Deutschen Bank |frequenzy: 37
NamedEntity-Organisation: Aktion Pflege |frequenzy: 37
NamedEntity-Organisation: CSUStephan Stracke |frequenzy: 37
NamedEntity-Organisation: Afrikanische Union |frequenzy: 37
NamedEntity-Organisation: Deutschen Umwelthilfe |frequenzy: 36
NamedEntity-Organisation: Ihres Antrages |frequenzy: 36
NamedEntity-Organisation: Verbraucherzentralen |frequenzy: 36
NamedEntity-Organisation: DIW |frequenzy: 35
NamedEntity-Organisation: Shoah |frequenzy: 35
NamedEntity-Organisation: DAAD |frequenzy: 35
NamedEntity-Organisation: BA |frequenzy: 35
NamedEntity-Organisation: Welthandelsorganisation |frequenzy: 35
NamedEntity-Organisation: Deutsche Welle |frequenzy: 35
NamedEntity-Organisation: stimmt |frequenzy: 35
NamedEntity-Organisation: UN-Mission |frequenzy: 35
NamedEntity-Organisation: Jobcentern |frequenzy: 35
NamedEntity-Organisation: Bundesministerium für Arbeit und Soziales |frequenzy: 35
NamedEntity-Organisation: RWE |frequenzy: 35
NamedEntity-Organisation: Bürger! |frequenzy: 34
NamedEntity-Organisation: Bundeszentrale für politische Bildung |frequenzy: 33
NamedEntity-Organisation: Entwicklungs- und Schwellenländern |frequenzy: 33
NamedEntity-Organisation: KatrinHelling-PlahrFDPKatrin |frequenzy: 33
NamedEntity-Organisation: Kindergeldes |frequenzy: 33
NamedEntity-Organisation: Rheinmetall |frequenzy: 33
NamedEntity-Organisation: IG Metall |frequenzy: 33
NamedEntity-Organisation: Herr Minister |frequenzy: 33
NamedEntity-Organisation: Bauminister |frequenzy: 33
NamedEntity-Organisation: Stasi |frequenzy: 33
NamedEntity-Organisation: DigitalPakt Schule |frequenzy: 33
NamedEntity-Organisation: Agentur für Sprunginnovationen |frequenzy: 33
NamedEntity-Organisation: ETS |frequenzy: 33
NamedEntity-Organisation: Christdemokraten |frequenzy: 33
NamedEntity-Organisation: Digitale Agenda |frequenzy: 32
NamedEntity-Organisation: CSUHermann |frequenzy: 32
NamedEntity-Organisation: IAB |frequenzy: 32
NamedEntity-Organisation: LNG |frequenzy: 32
NamedEntity-Organisation: Innenministeriums |frequenzy: 32
NamedEntity-Organisation: Huawei |frequenzy: 32
NamedEntity-Organisation: Europäischen Union  |frequenzy: 31
NamedEntity-Organisation: deutsche Regierung |frequenzy: 31
NamedEntity-Organisation: Konservativen |frequenzy: 31
NamedEntity-Organisation: Wand |frequenzy: 31
NamedEntity-Organisation: EU-Ländern |frequenzy: 31
NamedEntity-Organisation: UN-Generalsekretär |frequenzy: 31
NamedEntity-Organisation: Finanzministeriums |frequenzy: 31
NamedEntity-Organisation: Airbus |frequenzy: 31
NamedEntity-Organisation: KaiWhittakerCDU |frequenzy: 31
NamedEntity-Organisation: AfD! |frequenzy: 31
NamedEntity-Organisation: ADAC |frequenzy: 30
NamedEntity-Organisation: deutschen Steuerzahler |frequenzy: 30
NamedEntity-Organisation: ZIM |frequenzy: 30
NamedEntity-Organisation: UN-Mandat |frequenzy: 30
NamedEntity-Organisation: ‚ |frequenzy: 30
NamedEntity-Organisation: Altersarmut |frequenzy: 30
NamedEntity-Organisation: Kurzarbeitergeldes |frequenzy: 29
NamedEntity-Organisation: Internationalen Strafgerichtshof |frequenzy: 29
NamedEntity-Organisation: Umweltbundesamt |frequenzy: 29
NamedEntity-Organisation: Europas |frequenzy: 29
NamedEntity-Organisation: SDGs |frequenzy: 29
NamedEntity-Organisation: Minister Spahn |frequenzy: 29
NamedEntity-Organisation: IT-Sicherheitsgesetz |frequenzy: 29
NamedEntity-Organisation: deutschen EU-Ratspräsidentschaft |frequenzy: 29
NamedEntity-Organisation: IG Metall |frequenzy: 29
NamedEntity-Organisation: internationalen Gemeinschaft |frequenzy: 29
NamedEntity-Organisation: Afrikanischen Schweinepest |frequenzy: 29
NamedEntity-Organisation: Bundeskanzlerin! |frequenzy: 29
NamedEntity-Organisation: Auskunft |frequenzy: 29
NamedEntity-Organisation: NPD |frequenzy: 29
NamedEntity-Organisation: deutsche EU-Ratspräsidentschaft |frequenzy: 29
NamedEntity-Organisation: Bundesnachrichtendienst |frequenzy: 28
NamedEntity-Organisation: Liberale |frequenzy: 28
NamedEntity-Organisation: Weltbild |frequenzy: 28
NamedEntity-Organisation: Gewerkschafter |frequenzy: 28
NamedEntity-Organisation: Europäische Investitionsbank |frequenzy: 28
NamedEntity-Organisation: Deutschen Rentenversicherung |frequenzy: 27
NamedEntity-Organisation: KMK |frequenzy: 27
NamedEntity-Organisation: SabineLeidigDIE LINKESabine Leidig |frequenzy: 27
NamedEntity-Organisation: GabrieleHiller-OhmSPDGabriele Hiller-Ohm |frequenzy: 27
NamedEntity-Organisation: Goethe-Institut |frequenzy: 27
NamedEntity-Organisation: Internationalen Währungsfonds |frequenzy: 27
NamedEntity-Organisation: Wirtschafts- und Währungsunion |frequenzy: 27
NamedEntity-Organisation: CSUHenning Otte |frequenzy: 27
NamedEntity-Organisation: Gesundheitsminister Spahn |frequenzy: 27
NamedEntity-Organisation: Tarifbindung |frequenzy: 27
NamedEntity-Organisation: DIE LINKE |frequenzy: 27
NamedEntity-Organisation: BASF |frequenzy: 27
NamedEntity-Organisation: HenningOtteCDU |frequenzy: 27
NamedEntity-Organisation: DDR-Zeiten |frequenzy: 27
NamedEntity-Organisation: CSUWilfried Oellers |frequenzy: 26
NamedEntity-Organisation: Abgeordnete! |frequenzy: 26
NamedEntity-Organisation: meiner Partei |frequenzy: 26
NamedEntity-Organisation: DigitalPakts |frequenzy: 26
NamedEntity-Organisation: Bund-Länder-Arbeitsgruppe |frequenzy: 26
NamedEntity-Organisation: Protokoll gegeben 1 |frequenzy: 26
NamedEntity-Organisation: Östlichen Partnerschaft |frequenzy: 26
NamedEntity-Organisation: FlorianHahnCDU |frequenzy: 26
NamedEntity-Organisation: Armee |frequenzy: 25
NamedEntity-Organisation: EZ |frequenzy: 25
NamedEntity-Organisation: Bund der Steuerzahler |frequenzy: 25
NamedEntity-Organisation: Paketbranche |frequenzy: 25
NamedEntity-Organisation: AstraZeneca |frequenzy: 25
NamedEntity-Organisation: Jusos |frequenzy: 25
NamedEntity-Organisation: Aktionsplan |frequenzy: 25
NamedEntity-Organisation: Audi |frequenzy: 25
NamedEntity-Organisation: Institut der deutschen Wirtschaft |frequenzy: 25
NamedEntity-Organisation: Greenpeace |frequenzy: 25
NamedEntity-Organisation: Deutsche Institut für Wirtschaftsforschung |frequenzy: 25
NamedEntity-Organisation: Kommunisten |frequenzy: 25
NamedEntity-Organisation: Telekom |frequenzy: 25
NamedEntity-Organisation: Beitrags |frequenzy: 25
NamedEntity-Organisation: EU  |frequenzy: 25
NamedEntity-Organisation: AndreasJungCDU |frequenzy: 25
NamedEntity-Organisation: Langzeitarbeitslose |frequenzy: 24
NamedEntity-Organisation: PKV |frequenzy: 24
NamedEntity-Organisation: Transplantationsbeauftragten |frequenzy: 24
NamedEntity-Organisation: Bundesamt für Justiz |frequenzy: 24
NamedEntity-Organisation: Übergangsregierung |frequenzy: 24
NamedEntity-Organisation: Bundeshaushaltes |frequenzy: 24
NamedEntity-Organisation: Agentur für Arbeit |frequenzy: 24
NamedEntity-Organisation: IPCC |frequenzy: 24
NamedEntity-Organisation: EKF |frequenzy: 24
NamedEntity-Organisation: UN-Migrationspakt |frequenzy: 24
NamedEntity-Organisation: BKM |frequenzy: 24
NamedEntity-Organisation: MarcoBülowFraktionslosMarco Bülow |frequenzy: 24
NamedEntity-Organisation: Christenverfolgung |frequenzy: 24
NamedEntity-Organisation: Hartmann |frequenzy: 24
NamedEntity-Organisation: Deutschlands |frequenzy: 24
NamedEntity-Organisation: Bundesministerium für Ernährung und Landwirtschaft |frequenzy: 24
NamedEntity-Organisation: Dr KatjaLeikertCDU/CSUDr |frequenzy: 23
NamedEntity-Organisation: CSUMarc Henrichmann |frequenzy: 23
NamedEntity-Organisation: Welternährungsprogramms |frequenzy: 23
NamedEntity-Organisation: Bundesverwaltungsamt |frequenzy: 23
NamedEntity-Organisation: Arbeiterinnen |frequenzy: 23
NamedEntity-Organisation: Außenministerium |frequenzy: 23
NamedEntity-Organisation: Jugoslawien |frequenzy: 23
NamedEntity-Organisation: CSUOlav Gutting |frequenzy: 23
NamedEntity-Organisation: Brexits |frequenzy: 23
NamedEntity-Organisation: Löhnen |frequenzy: 23
NamedEntity-Organisation: Die Linke? |frequenzy: 23
NamedEntity-Organisation: Homeoffice |frequenzy: 23
NamedEntity-Organisation: GRÜNENDaniela |frequenzy: 23
NamedEntity-Organisation: Afrikanische Schweinepest |frequenzy: 23
NamedEntity-Organisation: GRÜNENStefan Gelbhaar |frequenzy: 23
NamedEntity-Organisation: Bundesminister für Wirtschaft |frequenzy: 23
NamedEntity-Organisation: BMU |frequenzy: 23
NamedEntity-Organisation: Ehrenamt |frequenzy: 23
NamedEntity-Organisation: LINKEThomas |frequenzy: 23
NamedEntity-Organisation: Einzelplan |frequenzy: 23
NamedEntity-Organisation: SabineZimmermannDIE |frequenzy: 23
NamedEntity-Organisation: Pfizer |frequenzy: 23
NamedEntity-Organisation: Straßenverkehrs-Ordnung |frequenzy: 23
NamedEntity-Organisation: Deutsche Institut für Menschenrechte |frequenzy: 22
NamedEntity-Organisation: Europäischen Investitionsbank |frequenzy: 22
NamedEntity-Organisation: VerbraucherschutzParl |frequenzy: 22
NamedEntity-Organisation: MartinaStamm-FibichSPDMartina Stamm-Fibich |frequenzy: 22
NamedEntity-Organisation: LINKESabine |frequenzy: 22
NamedEntity-Organisation: Dr SilkeLaunertCDU |frequenzy: 22
NamedEntity-Organisation: Bundesverteidigungsministerium |frequenzy: 22
NamedEntity-Organisation: US-Administration |frequenzy: 22
NamedEntity-Organisation: Deutsche Gewerkschaftsbund |frequenzy: 22
NamedEntity-Organisation: Zeit! |frequenzy: 22
NamedEntity-Organisation: bedanken |frequenzy: 22
NamedEntity-Organisation: UNMISS |frequenzy: 22
NamedEntity-Organisation: HeimatParl |frequenzy: 22
NamedEntity-Organisation: Effizienz |frequenzy: 22
NamedEntity-Organisation: EU-Verträge |frequenzy: 22
NamedEntity-Organisation: UN-Kinderrechtskonvention |frequenzy: 22
NamedEntity-Organisation: MAD |frequenzy: 22
NamedEntity-Organisation: Deutsche Rentenversicherung |frequenzy: 22
