NamedEntity-Miscellanies: deutschen |frequenzy: 875
NamedEntity-Miscellanies: russischen |frequenzy: 43
NamedEntity-Miscellanies: islamischen |frequenzy: 43
NamedEntity-Miscellanies: Grenze |frequenzy: 40
NamedEntity-Miscellanies: Zweiten Weltkrieg |frequenzy: 40
NamedEntity-Miscellanies: französische |frequenzy: 39
NamedEntity-Miscellanies: Berliner |frequenzy: 38
NamedEntity-Miscellanies: Dr GötzFrömmingAfDDr |frequenzy: 37
NamedEntity-Miscellanies: mitmachen |frequenzy: 36
NamedEntity-Miscellanies: Wiedervereinigung |frequenzy: 36
NamedEntity-Miscellanies: afrikanischen |frequenzy: 36
NamedEntity-Miscellanies: Fahrverbote |frequenzy: 35
NamedEntity-Miscellanies: Der nächste Redner |frequenzy: 35
NamedEntity-Miscellanies: Untersuchungsausschuss |frequenzy: 35
NamedEntity-Miscellanies: Facebook |frequenzy: 35
NamedEntity-Miscellanies: DigitalPakt |frequenzy: 34
NamedEntity-Miscellanies: Deutschland  |frequenzy: 33
NamedEntity-Miscellanies: russische |frequenzy: 33
NamedEntity-Miscellanies: EEG |frequenzy: 32
NamedEntity-Miscellanies: Gesprächen |frequenzy: 32
NamedEntity-Miscellanies: chinesischen |frequenzy: 31
NamedEntity-Miscellanies: Covid-19 |frequenzy: 31
NamedEntity-Miscellanies: Twitter |frequenzy: 31
NamedEntity-Miscellanies: Augenblick |frequenzy: 30
NamedEntity-Miscellanies: Russen |frequenzy: 30
NamedEntity-Miscellanies: demokratischer |frequenzy: 30
NamedEntity-Miscellanies: Infektionsschutzgesetz |frequenzy: 30
NamedEntity-Miscellanies: türkischen |frequenzy: 30
NamedEntity-Miscellanies: türkische |frequenzy: 29
NamedEntity-Miscellanies: Bericht |frequenzy: 29
NamedEntity-Miscellanies: bayerischen |frequenzy: 29
NamedEntity-Miscellanies: Enquete-Kommission |frequenzy: 29
NamedEntity-Miscellanies: CO2-Emissionen |frequenzy: 28
NamedEntity-Miscellanies: Kraft |frequenzy: 28
NamedEntity-Miscellanies: AfD-Fraktion |frequenzy: 28
NamedEntity-Miscellanies: sozialistische |frequenzy: 27
NamedEntity-Miscellanies: Karlsruhe |frequenzy: 27
NamedEntity-Miscellanies: Frieden |frequenzy: 26
NamedEntity-Miscellanies: Meine lieben Kolleginnen und Kollegen |frequenzy: 26
NamedEntity-Miscellanies: EEG-Umlage |frequenzy: 26
NamedEntity-Miscellanies: Altmaier |frequenzy: 26
NamedEntity-Miscellanies: iranischen |frequenzy: 25
NamedEntity-Miscellanies: Pakt |frequenzy: 25
NamedEntity-Miscellanies: Entwurfs |frequenzy: 24
NamedEntity-Miscellanies: britischen |frequenzy: 24
NamedEntity-Miscellanies: Verlaub |frequenzy: 24
NamedEntity-Miscellanies: irgendwelchen |frequenzy: 24
NamedEntity-Miscellanies: CO2-Ausstoß |frequenzy: 24
NamedEntity-Miscellanies: Wirtschaftsminister |frequenzy: 24
NamedEntity-Miscellanies: NetzDG |frequenzy: 24
NamedEntity-Miscellanies: chinesische |frequenzy: 24
NamedEntity-Miscellanies: Google |frequenzy: 23
NamedEntity-Miscellanies: BMZ |frequenzy: 22
NamedEntity-Miscellanies: britische |frequenzy: 22
NamedEntity-Miscellanies: YouTube |frequenzy: 22
NamedEntity-Miscellanies: islamische |frequenzy: 22
NamedEntity-Miscellanies: Schuldenbremse |frequenzy: 22
NamedEntity-Miscellanies: jüdischen |frequenzy: 21
NamedEntity-Miscellanies: Die nächste Frage |frequenzy: 21
NamedEntity-Miscellanies: Kalten Krieges |frequenzy: 21
NamedEntity-Miscellanies: Liebe Zuschauer |frequenzy: 21
NamedEntity-Miscellanies: Euro pro Jahr |frequenzy: 21
NamedEntity-Miscellanies: Erneuerbare-Energien-Gesetz |frequenzy: 21
NamedEntity-Miscellanies: BAföG |frequenzy: 20
NamedEntity-Miscellanies: Liebe Zuschauer! |frequenzy: 20
NamedEntity-Miscellanies: CO2-Steuer |frequenzy: 20
NamedEntity-Miscellanies: Schweizer |frequenzy: 20
NamedEntity-Miscellanies: freiheitlich-demokratische |frequenzy: 20
NamedEntity-Miscellanies: christlichen |frequenzy: 19
NamedEntity-Miscellanies: Sanktionen |frequenzy: 19
NamedEntity-Miscellanies: Wende |frequenzy: 19
NamedEntity-Miscellanies: ehrliche |frequenzy: 19
NamedEntity-Miscellanies: CO2-Preis |frequenzy: 19
NamedEntity-Miscellanies: IS |frequenzy: 18
NamedEntity-Miscellanies: Euro im Jahr |frequenzy: 18
NamedEntity-Miscellanies: Euro-Rettung |frequenzy: 18
NamedEntity-Miscellanies: Sitzungswoche |frequenzy: 18
NamedEntity-Miscellanies: rechtsstaatliche |frequenzy: 18
NamedEntity-Miscellanies: Deutscher |frequenzy: 18
NamedEntity-Miscellanies: CSU-Bundestagsfraktion |frequenzy: 18
NamedEntity-Miscellanies: Handelsblatt |frequenzy: 18
NamedEntity-Miscellanies: Operation |frequenzy: 17
NamedEntity-Miscellanies: Klimaziele |frequenzy: 17
NamedEntity-Miscellanies: Bürger |frequenzy: 17
NamedEntity-Miscellanies: deutschen Sprache |frequenzy: 17
NamedEntity-Miscellanies: links-grünen |frequenzy: 17
NamedEntity-Miscellanies: Regierungsbank |frequenzy: 17
NamedEntity-Miscellanies: BMF |frequenzy: 16
NamedEntity-Miscellanies: Im Jahr  |frequenzy: 16
NamedEntity-Miscellanies: Bild“-Zeitung |frequenzy: 16
NamedEntity-Miscellanies: nächsten Jahr |frequenzy: 16
NamedEntity-Miscellanies: BÜNDNIS 90/ |frequenzy: 16
NamedEntity-Miscellanies: Meine Frage |frequenzy: 16
NamedEntity-Miscellanies: Klimaschutzgesetz |frequenzy: 16
NamedEntity-Miscellanies: Datenschutz-Grundverordnung |frequenzy: 16
NamedEntity-Miscellanies: Hamburger |frequenzy: 16
NamedEntity-Miscellanies: christliche |frequenzy: 16
NamedEntity-Miscellanies: Amazon |frequenzy: 16
NamedEntity-Miscellanies: Hartz IV |frequenzy: 16
NamedEntity-Miscellanies: Selbstverständlich |frequenzy: 16
NamedEntity-Miscellanies: Christen |frequenzy: 16
NamedEntity-Miscellanies: völkerrechtliche |frequenzy: 15
NamedEntity-Miscellanies: Reichstag |frequenzy: 15
NamedEntity-Miscellanies: europäisches |frequenzy: 15
NamedEntity-Miscellanies: Einzelplan  |frequenzy: 15
NamedEntity-Miscellanies: amerikanischer |frequenzy: 15
NamedEntity-Miscellanies: arabischen |frequenzy: 15
NamedEntity-Miscellanies: Griechen |frequenzy: 15
NamedEntity-Miscellanies: Fake News |frequenzy: 15
NamedEntity-Miscellanies: Krieges |frequenzy: 15
NamedEntity-Miscellanies: Jedes Jahr |frequenzy: 14
NamedEntity-Miscellanies: Kriege |frequenzy: 14
NamedEntity-Miscellanies: österreichischen |frequenzy: 14
NamedEntity-Miscellanies: Angriff |frequenzy: 14
NamedEntity-Miscellanies: Dr AlexanderGaulandAfDDr |frequenzy: 14
NamedEntity-Miscellanies: Wettbewerbs |frequenzy: 14
NamedEntity-Miscellanies: Dr AngelaMerkelBundeskanzlerinDr |frequenzy: 14
NamedEntity-Miscellanies: Pakt für den Rechtsstaat |frequenzy: 14
NamedEntity-Miscellanies: italienischen |frequenzy: 14
NamedEntity-Miscellanies: afrikanische |frequenzy: 14
NamedEntity-Miscellanies: sozialistischer |frequenzy: 14
NamedEntity-Miscellanies: sozialdemokratischen |frequenzy: 14
NamedEntity-Miscellanies: Holocaust |frequenzy: 14
NamedEntity-Miscellanies: INF-Vertrag |frequenzy: 14
NamedEntity-Miscellanies: 1 Milliarde |frequenzy: 13
NamedEntity-Miscellanies: Gesetzentwurfes |frequenzy: 13
NamedEntity-Miscellanies: israelische |frequenzy: 13
NamedEntity-Miscellanies: deutsche Sprache |frequenzy: 13
NamedEntity-Miscellanies: Nachrüstung |frequenzy: 13
NamedEntity-Miscellanies: Sprache |frequenzy: 13
NamedEntity-Miscellanies: CO2-Bepreisung |frequenzy: 13
NamedEntity-Miscellanies: Ersten Weltkrieg |frequenzy: 13
NamedEntity-Miscellanies: Dr AliceWeidelAfDDr |frequenzy: 13
NamedEntity-Miscellanies: Liebe Gäste |frequenzy: 13
NamedEntity-Miscellanies: Koran |frequenzy: 13
NamedEntity-Miscellanies: zehn Jahre |frequenzy: 13
NamedEntity-Miscellanies: arabische |frequenzy: 13
NamedEntity-Miscellanies: Bürgerkrieg |frequenzy: 13
NamedEntity-Miscellanies: griechischen |frequenzy: 13
NamedEntity-Miscellanies: FDP-Antrag |frequenzy: 12
NamedEntity-Miscellanies: Jahr für Jahr |frequenzy: 12
NamedEntity-Miscellanies: nächsten Jahre |frequenzy: 12
NamedEntity-Miscellanies: Atomausstieg |frequenzy: 12
NamedEntity-Miscellanies: C |frequenzy: 12
NamedEntity-Miscellanies: Die Regierung |frequenzy: 12
NamedEntity-Miscellanies: jüdische |frequenzy: 12
NamedEntity-Miscellanies: kommunistische |frequenzy: 12
NamedEntity-Miscellanies: Schwangerschaftsabbrüche |frequenzy: 12
NamedEntity-Miscellanies: sozialdemokratische |frequenzy: 12
NamedEntity-Miscellanies: Gute-Kita-Gesetz |frequenzy: 12
NamedEntity-Miscellanies: Fachkräfteeinwanderungsgesetz |frequenzy: 11
NamedEntity-Miscellanies: Ersten |frequenzy: 11
NamedEntity-Miscellanies: iranische |frequenzy: 11
NamedEntity-Miscellanies: bürokratisches |frequenzy: 11
NamedEntity-Miscellanies: Einwanderungsgesetz |frequenzy: 11
NamedEntity-Miscellanies: Quarantäne |frequenzy: 11
NamedEntity-Miscellanies: Dr  Jan-Marco Luczak |frequenzy: 11
NamedEntity-Miscellanies: Klein-Klein |frequenzy: 11
NamedEntity-Miscellanies: kommunistischen |frequenzy: 11
NamedEntity-Miscellanies: US-amerikanische |frequenzy: 11
NamedEntity-Miscellanies: polnischen |frequenzy: 11
NamedEntity-Miscellanies: Genfer Flüchtlingskonvention |frequenzy: 11
NamedEntity-Miscellanies: Barrierefreiheit |frequenzy: 11
NamedEntity-Miscellanies: Englisch |frequenzy: 11
NamedEntity-Miscellanies: Münchner |frequenzy: 11
NamedEntity-Miscellanies: Kalten Krieg |frequenzy: 11
NamedEntity-Miscellanies: im Jahr  |frequenzy: 11
NamedEntity-Miscellanies: Millionen |frequenzy: 11
NamedEntity-Miscellanies: italienische |frequenzy: 11
NamedEntity-Miscellanies: sächsischen |frequenzy: 10
NamedEntity-Miscellanies: TTIP |frequenzy: 10
NamedEntity-Miscellanies: Verlust |frequenzy: 10
NamedEntity-Miscellanies: SPD-geführten |frequenzy: 10
NamedEntity-Miscellanies: Zukunftsfähigkeit |frequenzy: 10
NamedEntity-Miscellanies: Innenministerium |frequenzy: 10
NamedEntity-Miscellanies: Aufstand |frequenzy: 10
NamedEntity-Miscellanies: türkischer |frequenzy: 10
NamedEntity-Miscellanies: Christentum |frequenzy: 10
NamedEntity-Miscellanies: Lichte |frequenzy: 10
NamedEntity-Miscellanies: Vertrages |frequenzy: 10
NamedEntity-Miscellanies: Dr  Fritz Felgentreu |frequenzy: 10
NamedEntity-Miscellanies: BMVg |frequenzy: 10
NamedEntity-Miscellanies: irakischen |frequenzy: 10
NamedEntity-Miscellanies: irakische |frequenzy: 10
NamedEntity-Miscellanies: Nord Stream 2 |frequenzy: 10
NamedEntity-Miscellanies: Friedensnobelpreis |frequenzy: 10
NamedEntity-Miscellanies: Weihnachtsfest |frequenzy: 9
NamedEntity-Miscellanies: Okay |frequenzy: 9
NamedEntity-Miscellanies: Starke-Familien-Gesetz |frequenzy: 9
NamedEntity-Miscellanies: Versprechen |frequenzy: 9
NamedEntity-Miscellanies: HeikoMaasBundesminister |frequenzy: 9
NamedEntity-Miscellanies: Pflegebedürftigen |frequenzy: 9
NamedEntity-Miscellanies: 21  Jahrhunderts |frequenzy: 9
NamedEntity-Miscellanies: englischen |frequenzy: 9
NamedEntity-Miscellanies: Frieden in Europa |frequenzy: 9
NamedEntity-Miscellanies: Bibel |frequenzy: 9
NamedEntity-Miscellanies: Dr RolandHartwigAfDDr |frequenzy: 9
NamedEntity-Miscellanies: griechische |frequenzy: 9
NamedEntity-Miscellanies: Windkraft |frequenzy: 9
NamedEntity-Miscellanies: SPD-Bundestagsfraktion |frequenzy: 9
NamedEntity-Miscellanies: Kölner |frequenzy: 9
NamedEntity-Miscellanies: Sachsen |frequenzy: 9
NamedEntity-Miscellanies: 1 Milliarde Euro |frequenzy: 9
NamedEntity-Miscellanies: Mariana IrisHarder-KühnelAfDMariana Iris Harder-Kühnel |frequenzy: 9
NamedEntity-Miscellanies: Sea Guardian |frequenzy: 9
NamedEntity-Miscellanies: Die Zeit |frequenzy: 9
NamedEntity-Miscellanies: EU  |frequenzy: 9
NamedEntity-Miscellanies: Hauptausschuss |frequenzy: 9
NamedEntity-Miscellanies: Amadeu-Antonio-Stiftung |frequenzy: 9
NamedEntity-Miscellanies: SPD  |frequenzy: 9
NamedEntity-Miscellanies: CO2-Ausstoßes |frequenzy: 9
NamedEntity-Miscellanies: Viren |frequenzy: 9
NamedEntity-Miscellanies: NATO-Partner |frequenzy: 9
NamedEntity-Miscellanies: Die nächste Rednerin |frequenzy: 9
NamedEntity-Miscellanies: Élysée-Vertrag |frequenzy: 9
NamedEntity-Miscellanies: sozialen Frieden |frequenzy: 9
NamedEntity-Miscellanies: UNMISS |frequenzy: 9
NamedEntity-Miscellanies: Deutschland |frequenzy: 9
NamedEntity-Miscellanies: Weihnachtszeit |frequenzy: 8
NamedEntity-Miscellanies: Tag für Tag |frequenzy: 8
NamedEntity-Miscellanies: Liebe Frau Präsidentin! |frequenzy: 8
NamedEntity-Miscellanies: letzter Zeit |frequenzy: 8
NamedEntity-Miscellanies: Personals |frequenzy: 8
NamedEntity-Miscellanies: BerengarElsner |frequenzy: 8
NamedEntity-Miscellanies: Pariser Abkommen |frequenzy: 8
NamedEntity-Miscellanies: deutschen Ratspräsidentschaft |frequenzy: 8
NamedEntity-Miscellanies: Vorwürfen |frequenzy: 8
NamedEntity-Miscellanies: Umstieg |frequenzy: 8
NamedEntity-Miscellanies: Weges |frequenzy: 8
NamedEntity-Miscellanies: Rentenkommission |frequenzy: 8
NamedEntity-Miscellanies: Im Jahr 2017 |frequenzy: 8
NamedEntity-Miscellanies: Uns |frequenzy: 8
NamedEntity-Miscellanies: GesundheitBundesminister |frequenzy: 8
NamedEntity-Miscellanies: Drucksache |frequenzy: 8
NamedEntity-Miscellanies: südeuropäischen |frequenzy: 8
NamedEntity-Miscellanies: Frankfurter |frequenzy: 8
NamedEntity-Miscellanies: sowjetische |frequenzy: 8
NamedEntity-Miscellanies: Agenda |frequenzy: 8
NamedEntity-Miscellanies: Arbeitsplätzen |frequenzy: 8
NamedEntity-Miscellanies: Zweiten Weltkrieges |frequenzy: 8
NamedEntity-Miscellanies: Anreize |frequenzy: 8
NamedEntity-Miscellanies: BMAS |frequenzy: 8
NamedEntity-Miscellanies: Frieden und Freiheit |frequenzy: 8
NamedEntity-Miscellanies: Ostern |frequenzy: 8
NamedEntity-Miscellanies: Der Mann |frequenzy: 8
NamedEntity-Miscellanies: Jobs |frequenzy: 8
NamedEntity-Miscellanies: Richter |frequenzy: 8
NamedEntity-Miscellanies: Beitritt |frequenzy: 8
NamedEntity-Miscellanies: israelischen |frequenzy: 8
NamedEntity-Miscellanies: Ministers |frequenzy: 8
NamedEntity-Miscellanies: Brandner |frequenzy: 8
NamedEntity-Miscellanies: GIZ |frequenzy: 8
NamedEntity-Miscellanies: Tagesschau |frequenzy: 8
NamedEntity-Miscellanies: Jahr 2025 |frequenzy: 7
NamedEntity-Miscellanies: bundeseinheitliche |frequenzy: 7
NamedEntity-Miscellanies: HubertusHeilBundesminister |frequenzy: 7
NamedEntity-Miscellanies: Klimakrise |frequenzy: 7
NamedEntity-Miscellanies: StPO |frequenzy: 7
NamedEntity-Miscellanies: Agenda 2010 |frequenzy: 7
NamedEntity-Miscellanies: Großen Koalition |frequenzy: 7
NamedEntity-Miscellanies: Jahr 2000 |frequenzy: 7
NamedEntity-Miscellanies: Freiwilligkeit |frequenzy: 7
NamedEntity-Miscellanies: Dr FlorianToncarFDPDr |frequenzy: 7
NamedEntity-Miscellanies: Der Staat |frequenzy: 7
NamedEntity-Miscellanies: Parteiengesetz |frequenzy: 7
NamedEntity-Miscellanies: bayerische |frequenzy: 7
NamedEntity-Miscellanies: Ställe |frequenzy: 7
NamedEntity-Miscellanies: polnische |frequenzy: 7
NamedEntity-Miscellanies: Einzelplan 14 |frequenzy: 7
NamedEntity-Miscellanies: Ihres Gesetzentwurfs |frequenzy: 7
NamedEntity-Miscellanies: Ratspräsidentschaft |frequenzy: 7
NamedEntity-Miscellanies: Euro-Krise |frequenzy: 7
NamedEntity-Miscellanies: schwedische |frequenzy: 7
NamedEntity-Miscellanies: Kita |frequenzy: 7
NamedEntity-Miscellanies: sachlichen |frequenzy: 7
NamedEntity-Miscellanies: Bundestagswahlen |frequenzy: 7
NamedEntity-Miscellanies: AnKER-Zentren |frequenzy: 7
NamedEntity-Miscellanies: Agenda  |frequenzy: 7
NamedEntity-Miscellanies: Pflegepersonal-Stärkungsgesetz |frequenzy: 7
NamedEntity-Miscellanies: Manöver |frequenzy: 7
NamedEntity-Miscellanies: Koalitionsvertrages |frequenzy: 7
NamedEntity-Miscellanies: Chinesen |frequenzy: 7
NamedEntity-Miscellanies: dänischen |frequenzy: 7
NamedEntity-Miscellanies: JugendBundesministerin |frequenzy: 7
NamedEntity-Miscellanies: MasiDIE |frequenzy: 7
NamedEntity-Miscellanies: Rot-Grün |frequenzy: 7
NamedEntity-Miscellanies: Zweiten Weltkriegs |frequenzy: 7
NamedEntity-Miscellanies: SGB II |frequenzy: 7
NamedEntity-Miscellanies: GRÜNENDieter |frequenzy: 7
NamedEntity-Miscellanies: Kopf auf die Füße |frequenzy: 7
NamedEntity-Miscellanies: Jahr 2013 |frequenzy: 7
NamedEntity-Miscellanies: indischen |frequenzy: 7
NamedEntity-Miscellanies: Videos |frequenzy: 7
NamedEntity-Miscellanies: Istanbul-Konvention |frequenzy: 7
NamedEntity-Miscellanies: Hauses  |frequenzy: 7
NamedEntity-Miscellanies: Ermächtigungsgesetz |frequenzy: 7
NamedEntity-Miscellanies: KSK |frequenzy: 7
NamedEntity-Miscellanies: SozialesBundesminister |frequenzy: 7
NamedEntity-Miscellanies: Hartz-IV-Empfänger |frequenzy: 7
NamedEntity-Miscellanies: Jahr 2016 |frequenzy: 7
NamedEntity-Miscellanies: Politikverdrossenheit |frequenzy: 7
NamedEntity-Miscellanies: MINUSMA |frequenzy: 7
NamedEntity-Miscellanies: Agenda 2030 |frequenzy: 7
NamedEntity-Miscellanies: Operation Sophia |frequenzy: 7
NamedEntity-Miscellanies: Tag zu Tag |frequenzy: 6
NamedEntity-Miscellanies: SPD- |frequenzy: 6
NamedEntity-Miscellanies: serbischen |frequenzy: 6
NamedEntity-Miscellanies: Hetze |frequenzy: 6
NamedEntity-Miscellanies: rechtsextremistischer |frequenzy: 6
NamedEntity-Miscellanies: Jahr 2017 |frequenzy: 6
NamedEntity-Miscellanies: französischer |frequenzy: 6
NamedEntity-Miscellanies: englische |frequenzy: 6
NamedEntity-Miscellanies: US-amerikanischen |frequenzy: 6
NamedEntity-Miscellanies: Duden |frequenzy: 6
NamedEntity-Miscellanies: Weiteren |frequenzy: 6
NamedEntity-Miscellanies: Herr Altmaier |frequenzy: 6
NamedEntity-Miscellanies: Datenaustausch |frequenzy: 6
NamedEntity-Miscellanies: Mietspiegel |frequenzy: 6
NamedEntity-Miscellanies: preußischen |frequenzy: 6
NamedEntity-Miscellanies: Europäische Menschenrechtskonvention |frequenzy: 6
NamedEntity-Miscellanies: Operation Sea Guardian |frequenzy: 6
NamedEntity-Miscellanies: E-Fuels |frequenzy: 6
NamedEntity-Miscellanies: Tag aufs Neue |frequenzy: 6
NamedEntity-Miscellanies: BärbelBasSPDBärbel |frequenzy: 6
NamedEntity-Miscellanies: Steuergeldern |frequenzy: 6
NamedEntity-Miscellanies: AfD  Wir |frequenzy: 6
NamedEntity-Miscellanies: italienischer |frequenzy: 6
NamedEntity-Miscellanies: BMUSvenja |frequenzy: 6
NamedEntity-Miscellanies: parteinahen |frequenzy: 6
NamedEntity-Miscellanies: Dr VolkerUllrichCDU |frequenzy: 6
NamedEntity-Miscellanies: TARGET2 |frequenzy: 6
NamedEntity-Miscellanies: EU-Ausschuss |frequenzy: 6
NamedEntity-Miscellanies: hessische |frequenzy: 6
NamedEntity-Miscellanies: ukrainische |frequenzy: 6
NamedEntity-Miscellanies: Toncar |frequenzy: 6
NamedEntity-Miscellanies: Euro-Staaten |frequenzy: 6
NamedEntity-Miscellanies: Anwendungsbereich |frequenzy: 6
NamedEntity-Miscellanies: Währungsunion |frequenzy: 6
NamedEntity-Miscellanies: mittelalterlichen |frequenzy: 6
NamedEntity-Miscellanies: Zweiten Corona-Steuerhilfegesetz |frequenzy: 6
NamedEntity-Miscellanies: Ihres Antrages |frequenzy: 6
NamedEntity-Miscellanies: Bundeswehreinsatzes |frequenzy: 6
NamedEntity-Miscellanies: Leistungsempfänger |frequenzy: 6
NamedEntity-Miscellanies: Verkehrsministerium |frequenzy: 6
NamedEntity-Miscellanies: Tierwohl |frequenzy: 6
NamedEntity-Miscellanies: Euro-Zone |frequenzy: 6
NamedEntity-Miscellanies: afrikanischer |frequenzy: 6
NamedEntity-Miscellanies: Vertrag |frequenzy: 6
NamedEntity-Miscellanies: Letztes Jahr |frequenzy: 6
NamedEntity-Miscellanies: marktwirtschaftliche |frequenzy: 6
NamedEntity-Miscellanies: christlicher |frequenzy: 6
NamedEntity-Miscellanies: Sankt-Nimmerleins-Tag |frequenzy: 6
NamedEntity-Miscellanies: Agenda 2030 |frequenzy: 6
NamedEntity-Miscellanies: Jahr 2019 |frequenzy: 6
NamedEntity-Miscellanies: Zweite Weltkrieg |frequenzy: 6
NamedEntity-Miscellanies: Koalitionsvertrag |frequenzy: 6
NamedEntity-Miscellanies: Fachleuten |frequenzy: 6
NamedEntity-Miscellanies: nationalsozialistischen |frequenzy: 6
NamedEntity-Miscellanies: Herbst  |frequenzy: 6
NamedEntity-Miscellanies: Ältestenrat |frequenzy: 6
NamedEntity-Miscellanies: Geringverdiener |frequenzy: 6
NamedEntity-Miscellanies: Hause |frequenzy: 6
NamedEntity-Miscellanies: Wünschen |frequenzy: 6
NamedEntity-Miscellanies: Dr  Frömming |frequenzy: 6
NamedEntity-Miscellanies: freundlicher |frequenzy: 6
NamedEntity-Miscellanies: Fachkräftemangel |frequenzy: 6
NamedEntity-Miscellanies: europäischem |frequenzy: 6
NamedEntity-Miscellanies: deutsche Ratspräsidentschaft |frequenzy: 6
NamedEntity-Miscellanies: CO 2 -Ausstoß |frequenzy: 6
NamedEntity-Miscellanies: Neuland |frequenzy: 6
NamedEntity-Miscellanies: Hartz-IV-Bezieher |frequenzy: 6
NamedEntity-Miscellanies: MINT-Fächern |frequenzy: 6
NamedEntity-Miscellanies: DDR  |frequenzy: 6
NamedEntity-Miscellanies: Glückwunsch |frequenzy: 6
NamedEntity-Miscellanies: Ihr Haus |frequenzy: 6
NamedEntity-Miscellanies: Tarif |frequenzy: 5
NamedEntity-Miscellanies: Aachener Vertrag |frequenzy: 5
NamedEntity-Miscellanies: Aktuelle Stunde |frequenzy: 5
NamedEntity-Miscellanies: Das haben wir |frequenzy: 5
NamedEntity-Miscellanies: SGB VIII |frequenzy: 5
NamedEntity-Miscellanies: Lkw-Maut |frequenzy: 5
NamedEntity-Miscellanies: Pakt für Migration |frequenzy: 5
NamedEntity-Miscellanies: populistische |frequenzy: 5
NamedEntity-Miscellanies: Armee |frequenzy: 5
NamedEntity-Miscellanies: Friesen |frequenzy: 5
NamedEntity-Miscellanies: österreichische |frequenzy: 5
NamedEntity-Miscellanies: Herzblut |frequenzy: 5
NamedEntity-Miscellanies: Die Kollegen |frequenzy: 5
NamedEntity-Miscellanies: Financial Times |frequenzy: 5
NamedEntity-Miscellanies: TSVG |frequenzy: 5
NamedEntity-Miscellanies: Wikipedia |frequenzy: 5
NamedEntity-Miscellanies: Herr Minister |frequenzy: 5
NamedEntity-Miscellanies: rumänische |frequenzy: 5
NamedEntity-Miscellanies: AlexanderGraf |frequenzy: 5
NamedEntity-Miscellanies: BMVI |frequenzy: 5
NamedEntity-Miscellanies: Kernzeit |frequenzy: 5
NamedEntity-Miscellanies: CO2-Abgabe |frequenzy: 5
NamedEntity-Miscellanies: Der Kollege |frequenzy: 5
NamedEntity-Miscellanies: Dr MatthiasBartkeSPDDr |frequenzy: 5
NamedEntity-Miscellanies: Beschlüssen |frequenzy: 5
NamedEntity-Miscellanies: RalphLenkertDIE LINKERalph Lenkert |frequenzy: 5
NamedEntity-Miscellanies: Futter |frequenzy: 5
NamedEntity-Miscellanies: Händen |frequenzy: 5
