NamedEntity-Organisation: Bundestag |frequenzy: 18
NamedEntity-Organisation: Sozialdemokrat |frequenzy: 1
NamedEntity-Organisation: Danke |frequenzy: 1
NamedEntity-Organisation: PhilippAmthorCDU |frequenzy: 1
NamedEntity-Organisation: Sowjetrepubliken |frequenzy: 1
NamedEntity-Organisation: Europäischen Zentralbank – Herrn Coeuré |frequenzy: 1
NamedEntity-Organisation: Deutscher Bundestag |frequenzy: 1
NamedEntity-Organisation: Zusammenlebens |frequenzy: 1
NamedEntity-Organisation: Europäische Zentralbank |frequenzy: 1
NamedEntity-Organisation: Demokrat |frequenzy: 1
NamedEntity-Organisation: Europäischen Union – das |frequenzy: 1
NamedEntity-Organisation: Nationalstaates |frequenzy: 1
NamedEntity-Organisation: stimmt |frequenzy: 1
NamedEntity-Organisation: Deutsche Bundesbank |frequenzy: 1
NamedEntity-Organisation: SPD-Minister |frequenzy: 1
NamedEntity-Organisation: Gesellschaft in Deutschland |frequenzy: 1
NamedEntity-Organisation: Ostdeutschland |frequenzy: 1
NamedEntity-Organisation: Herr Abgeordneter |frequenzy: 1
NamedEntity-Organisation: Sowjetunion |frequenzy: 1
NamedEntity-Organisation: Apple |frequenzy: 1
NamedEntity-Organisation: Abgeordneten |frequenzy: 1
NamedEntity-Organisation: NATO |frequenzy: 1
NamedEntity-Organisation: italienischen Regierung |frequenzy: 1
NamedEntity-Organisation: SPD-Ministerpräsidenten |frequenzy: 1
NamedEntity-Organisation: Bundesfinanzminister |frequenzy: 1
NamedEntity-Organisation: Finanzminister Wolfgang Schäuble |frequenzy: 1
NamedEntity-Organisation: Zentralbankrates |frequenzy: 1
NamedEntity-Organisation: Abgeordneter |frequenzy: 1
NamedEntity-Organisation: Gesellschaft Deutschlands |frequenzy: 1
NamedEntity-Organisation: Verfassung |frequenzy: 1
NamedEntity-Organisation: DSGVO |frequenzy: 1
NamedEntity-Organisation: Arsenal |frequenzy: 1
NamedEntity-Organisation: Tagesspiegel |frequenzy: 1
NamedEntity-Organisation: Bundesbank |frequenzy: 1
