NamedEntity-Organisation: Präsident! |frequenzy: 20
NamedEntity-Organisation: UN-Angaben |frequenzy: 1
NamedEntity-Organisation: Der Spiegel |frequenzy: 1
NamedEntity-Organisation: KfW-Bankengruppe |frequenzy: 1
NamedEntity-Organisation: EU |frequenzy: 1
NamedEntity-Organisation: Security Sector Reform |frequenzy: 1
NamedEntity-Organisation: Sozialdemokraten |frequenzy: 1
NamedEntity-Organisation: Putin |frequenzy: 1
NamedEntity-Organisation: Mission Counter Daesh |frequenzy: 1
NamedEntity-Organisation: Ihres Antrags |frequenzy: 1
NamedEntity-Organisation: Hartmann |frequenzy: 1
NamedEntity-Organisation: deutsche Parlament |frequenzy: 1
NamedEntity-Organisation: Binnenmigration |frequenzy: 1
NamedEntity-Organisation: Kooperationsverbot! |frequenzy: 1
NamedEntity-Organisation: Wir Demokraten |frequenzy: 1
NamedEntity-Organisation: Rheinmetall |frequenzy: 1
NamedEntity-Organisation: Arabischen Liga |frequenzy: 1
NamedEntity-Organisation: Dr  Harbarth |frequenzy: 1
NamedEntity-Organisation: Kreditanstalt für Wiederaufbau |frequenzy: 1
NamedEntity-Organisation: Bund-Länder-Zusammenarbeit |frequenzy: 1
NamedEntity-Organisation: Freie Syrische Armee |frequenzy: 1
NamedEntity-Organisation: Lambsdorff |frequenzy: 1
NamedEntity-Organisation: Schulpreisen |frequenzy: 1
NamedEntity-Organisation: Terror |frequenzy: 1
NamedEntity-Organisation: StefanKaufmannCDU |frequenzy: 1
NamedEntity-Organisation: BA |frequenzy: 1
NamedEntity-Organisation: Bundes |frequenzy: 1
NamedEntity-Organisation: UNIFIL-Mandat |frequenzy: 1
NamedEntity-Organisation: Lehman Brothers |frequenzy: 1
NamedEntity-Organisation: Le Monde |frequenzy: 1
NamedEntity-Organisation: UNICEF |frequenzy: 1
NamedEntity-Organisation: Bund für den Kitaausbau |frequenzy: 1
NamedEntity-Organisation: Bluecard-Inhaber |frequenzy: 1
NamedEntity-Organisation: Demokrat |frequenzy: 1
NamedEntity-Organisation: CARE |frequenzy: 1
NamedEntity-Organisation: UNHCR |frequenzy: 1
NamedEntity-Organisation: Nastic |frequenzy: 1
NamedEntity-Organisation: Bundesnachrichtendienstes |frequenzy: 1
NamedEntity-Organisation: Ministerin |frequenzy: 1
NamedEntity-Organisation: Huthi |frequenzy: 1
NamedEntity-Organisation: AfD Herr Dr   |frequenzy: 1
NamedEntity-Organisation: Bundes Deutscher Verwaltungsrichter |frequenzy: 1
NamedEntity-Organisation: christlichen Union |frequenzy: 1
NamedEntity-Organisation: Bundesagentur für Arbeit |frequenzy: 1
NamedEntity-Organisation: Deutschen Bundestags |frequenzy: 1
NamedEntity-Organisation: Blauen Karte EU |frequenzy: 1
NamedEntity-Organisation: Bund-Länder-Programm |frequenzy: 1
NamedEntity-Organisation: Bildung |frequenzy: 1
NamedEntity-Organisation: Capacity Building |frequenzy: 1
NamedEntity-Organisation: SPD-Papier |frequenzy: 1
NamedEntity-Organisation: absurd |frequenzy: 1
NamedEntity-Organisation: UN-Ideologen |frequenzy: 1
NamedEntity-Organisation: Philipp Holzmann AG |frequenzy: 1
NamedEntity-Organisation: französische Armee |frequenzy: 1
NamedEntity-Organisation: Bund für die Länder |frequenzy: 1
NamedEntity-Organisation: Deutsche Reich |frequenzy: 1
